file_id,item_idx,true_A,focus,logic,alternative,S1,S2,p_A,p_B,p_C,pred,correct
ns1,0,C,1,POS,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,0.03675858082979374,0.8108813307766103,0.152360088393596,B,0
ns1,1,B,2,NEG,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,0.2836936142696257,0.6699946765252665,0.04631170920510784,B,1
ns1,2,B,1,POS,2,Sam only gave ROB grapes.,Sam also gave Rob oranges.,0.009647556125532145,0.6555369179022588,0.3348155259722091,B,1
ns1,3,A,2,NEG,2,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,0.806419571033741,0.166414078377521,0.02716635058873803,A,1
ns1,4,B,2,POS,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,0.05251532483168419,0.8609015305687945,0.08658314459952132,B,1
ns1,5,A,1,NEG,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,0.3113989275100333,0.6490111410074827,0.03958993148248406,B,0
ns1,6,C,2,POS,2,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,0.010053384028375398,0.44105047359934774,0.5488961423722769,C,1
ns1,7,B,1,NEG,2,Sam only gave TOM apples.,Sam didn't give Tom grapes.,0.8053695819172857,0.16619739465585914,0.02843302342685519,A,0
ns2,0,B,1,NEG,2,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,0.7204838790938985,0.24133187421993144,0.038184246686170015,A,0
ns2,1,C,2,POS,2,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,0.00855215223485121,0.5458984907367126,0.4455493570284362,B,0
ns2,2,A,1,NEG,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,0.2968079444433845,0.6482881117598587,0.054903943796756824,B,0
ns2,3,B,2,POS,1,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,0.11551672874907999,0.8272983411728159,0.057184930078104185,B,1
ns2,4,C,1,POS,1,Sam only gave TOM apples.,Sam also gave Bill apples.,0.015521474374465456,0.7136192157195689,0.27085930990596563,B,0
ns2,5,A,2,NEG,2,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,0.8415686129380688,0.1231486923685261,0.03528269469340507,A,1
ns2,6,B,1,POS,2,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,0.01662510805377564,0.6745454743836671,0.3088294175625573,B,1
ns2,7,B,2,NEG,1,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,0.2606975372429831,0.708649300409871,0.03065316234714588,B,1
ns3,0,B,1,POS,2,Sam only gave ROB bananas.,Sam also gave Rob oranges.,0.009035724273344465,0.41868697931288934,0.5722772964137662,C,0
ns3,1,C,2,POS,2,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,0.009619773242110646,0.3666638943101867,0.6237163324477026,C,1
ns3,2,A,1,NEG,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,0.34366287956397173,0.6126452881693991,0.043691832266629205,B,0
ns3,3,B,2,POS,1,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,0.039632778498431866,0.8607304415963823,0.09963677990518574,B,1
ns3,4,C,1,POS,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,0.013462034098394497,0.8199541659188038,0.16658379998280176,B,0
ns3,5,A,2,NEG,2,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,0.8167490997419615,0.15108338975666985,0.03216751050136866,A,1
ns3,6,B,1,NEG,2,Sam only gave SUE apples.,Sam didn't give Sue oranges.,0.8120863298336379,0.16758348398091502,0.02033018618544705,A,0
ns3,7,B,2,NEG,1,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,0.304737835028366,0.655289265538202,0.039972899433432026,B,1
