file_id,item_idx,true_A,focus,logic,alternative,S1,S2,p_A,p_B,p_C,pred,correct
ns1,0,C,1,POS,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,0.061280522029754314,0.8328362396809176,0.10588323828932815,B,0
ns1,1,B,2,NEG,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,0.28090863918413067,0.6844766244039077,0.03461473641196165,B,1
ns1,2,B,1,POS,2,Sam only gave ROB grapes.,Sam also gave Rob oranges.,0.01397649984565625,0.8380915532532448,0.14793194690109893,B,1
ns1,3,A,2,NEG,2,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,0.8021183964709545,0.1579464796353086,0.03993512389373686,A,1
ns1,4,B,2,POS,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,0.0789674000116774,0.8623490130516503,0.05868358693667223,B,1
ns1,5,A,1,NEG,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,0.5884832738764064,0.3513993788974864,0.06011734722610712,A,1
ns1,6,C,2,POS,2,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,0.01284516703960238,0.50514349848656,0.4820113344738376,B,0
ns1,7,B,1,NEG,2,Sam only gave TOM apples.,Sam didn't give Tom grapes.,0.7479006951556795,0.21427714531794867,0.03782215952637186,A,0
ns2,0,B,1,NEG,2,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,0.7566356555102637,0.20685267813775726,0.03651166635197905,A,0
ns2,1,C,2,POS,2,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,0.016848616676510605,0.7277034410197794,0.2554479423037101,B,0
ns2,2,A,1,NEG,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,0.45749667629653856,0.4870026819570554,0.05550064174640601,B,0
ns2,3,B,2,POS,1,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,0.13472771916522105,0.8125121456971882,0.05276013513759072,B,1
ns2,4,C,1,POS,1,Sam only gave TOM apples.,Sam also gave Bill apples.,0.03971934873744097,0.8761947849614785,0.08408586630108048,B,0
ns2,5,A,2,NEG,2,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,0.8270192898118057,0.14597757398218006,0.027003136206014206,A,1
ns2,6,B,1,POS,2,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,0.009134030606265314,0.31452690469571776,0.676339064698017,C,0
ns2,7,B,2,NEG,1,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,0.3344974312956868,0.6249234260311093,0.04057914267320388,B,1
ns3,0,B,1,POS,2,Sam only gave ROB bananas.,Sam also gave Rob oranges.,0.009400612035859216,0.32118739076823716,0.6694119971959036,C,0
ns3,1,C,2,POS,2,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,0.013944016165360036,0.8361436756011906,0.14991230823344928,B,0
ns3,2,A,1,NEG,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,0.3685531354158639,0.5982207895840945,0.03322607500004166,B,0
ns3,3,B,2,POS,1,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,0.03420062298585781,0.8683708686352839,0.09742850837885834,B,1
ns3,4,C,1,POS,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,0.022865899252540806,0.8852735466348461,0.0918605541126131,B,0
ns3,5,A,2,NEG,2,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,0.7892367529553962,0.13502249265979543,0.07574075438480837,A,1
ns3,6,B,1,NEG,2,Sam only gave SUE apples.,Sam didn't give Sue oranges.,0.7864800913307981,0.18105799823055654,0.032461910438645346,A,0
ns3,7,B,2,NEG,1,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,0.5565559489787952,0.4201104893249806,0.023333561696224227,A,0
