example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 states that Sam gave grapes to Bill and implies no one else, while S2 contradicts this by stating Sam also gave grapes to Sue.",,,1,POS,1,ns1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_145416,,,speaker1
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,,,,"The prosodic focus on ""only"" in S1 emphasizes that Sue was the sole recipient of oranges, which entails that no one else (including Rob) received them.",,,2,NEG,1,ns1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_145416,,,speaker1
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,0,C,,,,"S1 states Sam gave Rob only grapes, implying no other fruits. S2 claims Sam also gave Rob oranges, contradicting the exclusivity implied by ""only.""",,,1,POS,2,ns1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_145416,,,speaker1
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"The prosodic focus on ""oranges"" in S1 emphasizes that oranges were the only fruit given, making S2 (Sam didn't give Tom bananas) a logical consequence.",,,2,NEG,2,ns1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_145416,,,speaker1
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,,,,"The word ""only"" in S1 implies Sam gave bananas to Ellen and no one else. S2 states Sam also gave bananas to Mary, which contradicts the exclusivity implied by ""only"".",,,2,POS,1,ns1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_145416,,,speaker1
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"The prosodic focus on ""Ellen"" in S1 emphasizes that she was the only recipient, making S2 (Sam didn't give Tom grapes) a logical consequence.",,,1,NEG,1,ns1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_145416,,,speaker1
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"The word ""only"" in S1 implies that Sam did not give Rob anything other than oranges. S2 states that Sam also gave Rob apples, which contradicts the exclusivity implied by ""only"".",,,2,POS,2,ns1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_145416,,,speaker1
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"The focus on ""apples"" in S1 implies that Sam gave Tom something other than apples (e.g., grapes) is not true, so S2 is entailed.",,,1,NEG,2,ns1,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_145416,,,speaker1
0,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,A,,,,"The prosodic focus on ""grapes"" in S1 emphasizes that grapes were the only fruit given to Bill, making S2 (not giving oranges) logically entailed.",,,1,NEG,2,ns2,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_145416,,,speaker1
1,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,"The word ""only"" in S1 implies that Sam did not give Ellen anything other than grapes. S2 states that Sam also gave oranges, which contradicts the exclusivity implied by ""only"".",,,2,POS,2,ns2,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_145416,,,speaker1
2,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,,,,"The prosodic focus on ""Bill"" in S1 emphasizes that Bill was the only recipient, making S2 (Sam didn't give Tom bananas) logically entailed.",,,1,NEG,1,ns2,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_145416,,,speaker1
