example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,0,A,,,,"The prosodic focus on ""Ellen"" in S1 emphasizes that Ellen was the only recipient of bananas, but this does not exclude Sam from giving her other fruits like grapes. Thus, S2 is entailed by S1.",,,1,POS,2,f9,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,0,A,,,,"The prosodic focus on ""Mary"" in S1 emphasizes that she was the recipient of the apples, and S2 states that Sam didn't give her oranges, which is consistent with the information in S1. There is no contradiction, and S2 adds information that does not conflict with S1.",,,1,NEG,2,f9,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,0,C,,,,"The focus on ""bananas"" in S1 implies Sam did not give Tom other fruits, contradicting S2 which states he also gave Tom apples.",,,1,POS,2,f9,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,0,A,,,,"The prosodic focus on ""Mary"" in S1 emphasizes that she was the only recipient of apples, making S2 (Sam didn't give Mary grapes) consistent with S1, as it doesn't contradict the information about apples and doesn't introduce any conflicting claim about grapes.",,,1,NEG,2,f9,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,1,A,,,,"The prosodic focus on ""oranges"" in S1 emphasizes that oranges were the only fruit given, making S2 (Sam didn't give Mary apples) a logical consequence.",,,2,NEG,2,f9,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,0,A,,,,"The focus on ""only"" in S1 indicates that Sam gave apples to Rob and no one else. S2 states that Sam also gave apples to Mary, which contradicts the exclusivity implied by ""only."" Therefore, S2 is contradicted by S1.",,,2,POS,1,f9,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,1,C,,,,"S2 contradicts S1 because S1 states Sam only gave apples to Rob, implying no one else received apples, while S2 claims Sam also gave apples to Tom.",,,1,POS,1,f9,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,,,,"The prosodic focus on ""oranges"" in S1 emphasizes that oranges were the only fruit given, making S2 (Sam didn't give Rob bananas) logically entailed, as it aligns with the exclusivity implied.",,,2,NEG,2,f9,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,0,C,,,,"S1 states Sam only gave Bill grapes, implying he did not give grapes to anyone else. S2 claims Sam also gave Rob grapes, which contradicts the exclusivity implied by ""only"" in S1.",,,2,POS,1,f9,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,1,C,,,,"S2 contradicts S1 because S1 states Sam ""only"" gave Rob grapes, implying no other fruits, while S2 claims Sam also gave Rob bananas.",,,2,POS,2,f9,audio,qwen,Qwen/Qwen3-Omni-30B-A3B-Instruct,20260522_144948,,,speaker0
