example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,B,,,,,,,1,POS,1,ns1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,,,,2,NEG,1,ns1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,,,,,,,1,POS,2,ns1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,Sam only gave Tom oranges implies that Sam didn't give Tom bananas.,,,2,NEG,2,ns1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,,,,2,POS,1,ns1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,,,,1,NEG,1,ns1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,B,,,,,,,2,POS,2,ns1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,Sam only gave Tom apples implies that Sam didn't give Tom grapes.,,,1,NEG,2,ns1,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
0,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,A,,,,"S2 is entailed by S1 because if Sam only gave Bill grapes, then it is true that Sam didn't give Bill oranges.",,,1,NEG,2,ns2,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
1,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,0,B,,,,,,,2,POS,2,ns2,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
2,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,,,,S2 is entailed by S1 because it is consistent with the information provided in S1.,,,1,NEG,1,ns2,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
3,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,1,B,,,,"S2 is independent of S1 because it introduces a new person, Sue, who is not mentioned in S1.",,,2,POS,1,ns2,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
4,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,0,B,,,,,,,1,POS,1,ns2,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,1,A,,,,,,,2,NEG,2,ns2,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
6,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,1,B,,,,,,,1,POS,2,ns2,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
7,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,1,B,,,,,,,2,NEG,1,ns2,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
0,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,1,B,,,,,,,1,POS,2,ns3,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
1,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,0,B,,,,,,,2,POS,2,ns3,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
2,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,0,B,,,,,,,1,NEG,1,ns3,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,1,B,,,,,,,2,POS,1,ns3,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
4,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,0,B,,,,"S2 is independent of S1 because it introduces a new person, Rob, who is not mentioned in S1.",,,1,POS,1,ns3,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
5,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,,,,"Sam only gave Tom bananas, so it is entailed that Sam didn't give Tom oranges.",,,2,NEG,2,ns3,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
6,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,A,,,,,,,1,NEG,2,ns3,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
7,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,1,B,,,,,,,2,NEG,1,ns3,audio,qwen,Qwen/Qwen2.5-Omni-7B,20260521_221040,,,speaker2
