example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,B,,,0,The original content of this audio is: 'Sam only gave Ellen bananas. Sam also gave Rob bananas.',,,0.7083,,2,POS,1,f8,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
1,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,,,0,The original content of this audio is:'Sam only gave Rob graves. Sam also gave Rob oranges.',,,0.7391,,1,POS,2,f8,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
2,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,,,0,The original content of this audio is:'Sam only gave Tom apples. Sam also gave Bill apples.',,,0.7283,,1,POS,1,f8,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
3,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,,,0,The original content of this audio is:'Sam only gave Mary apples. Sam also gave Mary bananas.',,,0.7234,,2,POS,2,f8,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
4,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,,,0,The original content of this audio is: 'Sam only gave Ellen oranges. Sam also gave Sue oranges.',,,0.7083,,2,POS,1,f8,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
5,0,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,A,,,0,The original content of this audio is: 'Sam only gave Rob oranges. Sam didn't give Rob apples.',,,0.7263,,2,NEG,2,f8,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
6,0,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,B,,,0,The original content of this audio is: 'Sam only gave Bill bananas. Sam didn't give Ellen bananas.',,,0.7273,,2,NEG,1,f8,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
7,0,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,B,,,0,The original content of this audio is: 'Sam only gave Rob bananas. Sam also gave Sue bananas.',,,0.7234,,2,POS,1,f8,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
8,0,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,B,,,0,The original content of this audio is: 'Sam only gave Bill bananas. Sam didn't give Mary bananas.',,,0.7245,,2,NEG,1,f8,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
9,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,,,0,The original content of this audio is:'Sam only gave Ellen grapes. Sam didn't give Rob grapes.',,,0.7158,,2,NEG,1,f8,audio,qwen,Qwen/Qwen2-Audio-7B-Instruct,20260520_110525,,,speaker0
