file_id,item_idx,true_A,focus,logic,alternative,S1,S2,p_A,p_B,p_C,pred,correct
ns1,0,C,1,POS,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,2.144353312220761e-05,6.605072466730807e-05,0.9999125057422105,C,1
ns1,1,B,2,NEG,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,0.013781620523494563,0.966166240367973,0.02005213910853243,B,1
ns1,2,B,1,POS,2,Sam only gave ROB grapes.,Sam also gave Rob oranges.,1.4737878474302944e-05,7.48451315060831e-05,0.9999104169900196,C,0
ns1,3,A,2,NEG,2,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,0.9905376117846229,0.005889951815009575,0.003572436400367623,A,1
ns1,4,B,2,POS,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,0.00010881964571014727,0.0007095931948463619,0.9991815871594435,C,0
ns1,5,A,1,NEG,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,0.8903039839432308,0.08281116536122585,0.02688485069554328,A,1
ns1,6,C,2,POS,2,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,1.3006154972007541e-05,7.484526134156176e-05,0.9999121485836864,C,1
ns1,7,B,1,NEG,2,Sam only gave TOM apples.,Sam didn't give Tom grapes.,0.004595015201079068,0.9922468804484917,0.0031581043504292027,B,1
ns2,0,B,1,NEG,2,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,0.3474575361125555,0.6491361101597284,0.003406353727716096,B,1
ns2,1,C,2,POS,2,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,3.119851287526542e-05,0.00010889351323173938,0.999859907973893,C,1
ns2,2,A,1,NEG,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,0.5260908231125305,0.4642734878581442,0.0096356890293252,A,1
ns2,3,B,2,POS,1,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,0.00015770599911813654,0.9952334485053812,0.004608845495500661,B,1
ns2,4,C,1,POS,1,Sam only gave TOM apples.,Sam also gave Bill apples.,1.1477795396821283e-05,8.481006860799583e-05,0.9999037121359952,C,1
ns2,5,A,2,NEG,2,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,0.9832307883266075,0.005846503948034042,0.010922707725358444,A,1
ns2,6,B,1,POS,2,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,0.004529179102504187,0.8631087980829113,0.13236202281458453,B,1
ns2,7,B,2,NEG,1,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,0.6043411877585282,0.32348055133080356,0.07217826091066822,A,0
ns3,0,B,1,POS,2,Sam only gave ROB bananas.,Sam also gave Rob oranges.,2.26029833687641e-06,1.1478741941377594e-05,0.9999862609597218,C,0
ns3,1,C,2,POS,2,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,7.4109436408604664e-06,4.539753507223451e-05,0.9999471915212869,C,1
ns3,2,A,1,NEG,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,0.8741358274263316,0.11830141606790383,0.00756275650576465,A,1
ns3,3,B,2,POS,1,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,0.0007042967983348697,0.9917237990790918,0.007571904122573368,B,1
ns3,4,C,1,POS,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,5.421972531459907e-06,4.5397625678265375e-05,0.9999491804017903,C,1
ns3,5,A,2,NEG,2,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,0.8286958748442373,0.16317987630984604,0.00812424884591662,A,1
ns3,6,B,1,NEG,2,Sam only gave SUE apples.,Sam didn't give Sue oranges.,0.810215749315415,0.1807835662034572,0.009000684481127825,A,0
ns3,7,B,2,NEG,1,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,0.028999519295370577,0.9603321534377233,0.010668327266906107,B,1
