file_id,item_idx,true_A,focus,logic,alternative,S1,S2,p_A,p_B,p_C,pred,correct
ns1,0,C,1,POS,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,0.046217794495883126,0.8997481314645611,0.05403407403955577,B,0
ns1,1,B,2,NEG,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,0.04019544370477739,0.321140470725468,0.6386640855697546,C,0
ns1,2,B,1,POS,2,Sam only gave ROB grapes.,Sam also gave Rob oranges.,0.08310183058028826,0.8134762757759287,0.10342189364378301,B,1
ns1,3,A,2,NEG,2,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,0.013447669143234631,0.05841401420499278,0.9281383166517726,C,0
ns1,4,B,2,POS,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,0.24620396415088272,0.6588759560481487,0.0949200798009685,B,1
ns1,5,A,1,NEG,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,0.03041926597888474,0.14740753820547647,0.8221731958156387,C,0
ns1,6,C,2,POS,2,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,0.08813040220894694,0.810432114235342,0.10143748355571104,B,0
ns1,7,B,1,NEG,2,Sam only gave TOM apples.,Sam didn't give Tom grapes.,0.006521668867432992,0.16558840031729805,0.827889930815269,C,0
ns2,0,B,1,NEG,2,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,0.003297401301694432,0.08242465772800807,0.9142779409702975,C,0
ns2,1,C,2,POS,2,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,0.06594215870319642,0.8961904457299101,0.037867395566893426,B,0
ns2,2,A,1,NEG,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,0.013762796593556595,0.1479640015734577,0.8382732018329857,C,0
ns2,3,B,2,POS,1,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,0.13024232723154425,0.7978310237075971,0.07192664906085873,B,1
ns2,4,C,1,POS,1,Sam only gave TOM apples.,Sam also gave Bill apples.,0.03251429952697738,0.9354754882535279,0.03201021221949472,B,0
ns2,5,A,2,NEG,2,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,0.007945105493710143,0.08087206884562104,0.9111828256606688,C,0
ns2,6,B,1,POS,2,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,0.06582252465321116,0.8273369690357282,0.10684050631106067,B,1
ns2,7,B,2,NEG,1,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,0.07754013189387207,0.546711142859212,0.37574872524691594,B,1
ns3,0,B,1,POS,2,Sam only gave ROB bananas.,Sam also gave Rob oranges.,0.11372563053169846,0.8403250582053897,0.04594931126291186,B,1
ns3,1,C,2,POS,2,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,0.14991671495955017,0.8232046992190227,0.026878585821427062,B,0
ns3,2,A,1,NEG,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,0.05714861923280035,0.6339088736034285,0.30894250716377114,B,0
ns3,3,B,2,POS,1,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,0.0860105421501713,0.7786758886150079,0.13531356923482082,B,1
ns3,4,C,1,POS,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,0.05384561095510395,0.8690241188623259,0.07713027018257017,B,0
ns3,5,A,2,NEG,2,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,0.009703047653923115,0.23143867850736488,0.758858273838712,C,0
ns3,6,B,1,NEG,2,Sam only gave SUE apples.,Sam didn't give Sue oranges.,0.0028815924635747243,0.13993185741756226,0.857186550118863,C,0
ns3,7,B,2,NEG,1,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,0.021720184602036584,0.21261690017755233,0.7656629152204111,C,0
