file_id,item_idx,true_A,focus,logic,alternative,S1,S2,p_A,p_B,p_C,pred,correct
ns1,0,C,1,POS,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,0.02881348184930704,0.842053437148176,0.1291330810025169,B,0
ns1,1,B,2,NEG,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,0.02219975513130616,0.14476057566978748,0.8330396691989064,C,0
ns1,2,B,1,POS,2,Sam only gave ROB grapes.,Sam also gave Rob oranges.,0.09433040342226635,0.61511150332199,0.29055809325574367,B,1
ns1,3,A,2,NEG,2,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,0.02626703723403732,0.10388814538764546,0.8698448173783172,C,0
ns1,4,B,2,POS,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,0.10907674347800532,0.8059742057653432,0.08494905075665149,B,1
ns1,5,A,1,NEG,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,0.018634331419044633,0.08351327901473511,0.8978523895662203,C,0
ns1,6,C,2,POS,2,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,0.1033796705051816,0.7638782160660902,0.13274211342872827,B,0
ns1,7,B,1,NEG,2,Sam only gave TOM apples.,Sam didn't give Tom grapes.,0.007445478148875555,0.13197426331037382,0.8605802585407506,C,0
ns2,0,B,1,NEG,2,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,0.008643688626977293,0.16309442081787304,0.8282618905551496,C,0
ns2,1,C,2,POS,2,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,0.0716265953644383,0.8725905572472074,0.05578284738835435,B,0
ns2,2,A,1,NEG,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,0.027227057115441846,0.4259028450468578,0.5468700978377004,C,0
ns2,3,B,2,POS,1,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,0.14780418439225662,0.750611585222472,0.10158423038527145,B,1
ns2,4,C,1,POS,1,Sam only gave TOM apples.,Sam also gave Bill apples.,0.01516345640676738,0.9381298095665838,0.04670673402664883,B,0
ns2,5,A,2,NEG,2,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,0.008046587608951493,0.11824374089240297,0.8737096714986455,C,0
ns2,6,B,1,POS,2,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,0.03960985459077877,0.7021014439726526,0.2582887014365686,B,1
ns2,7,B,2,NEG,1,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,0.045057974619372415,0.6220061300025432,0.3329358953780844,B,1
ns3,0,B,1,POS,2,Sam only gave ROB bananas.,Sam also gave Rob oranges.,0.07572312516488645,0.8141003697363646,0.11017650509874896,B,1
ns3,1,C,2,POS,2,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,0.10420978836622422,0.8725378654472812,0.02325234618649463,B,0
ns3,2,A,1,NEG,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,0.03193560625288809,0.6025807125405493,0.3654836812065625,B,0
ns3,3,B,2,POS,1,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,0.09640508011266778,0.8071898397746644,0.09640508011266778,B,1
ns3,4,C,1,POS,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,0.03608158155067675,0.8212130050694829,0.14270541337984033,B,0
ns3,5,A,2,NEG,2,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,0.017750365803747805,0.4300519824369902,0.5521976517592619,C,0
ns3,6,B,1,NEG,2,Sam only gave SUE apples.,Sam didn't give Sue oranges.,0.0046657859280754025,0.1061927952277023,0.8891414188442223,C,0
ns3,7,B,2,NEG,1,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,0.012739750847846263,0.0941347294090433,0.8931255197431105,C,0
