example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,,,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,,0.0,0.0,1,NEG,1,f2,text_focus,openai,gpt-5,20260519_152701,,,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,,,0,Sam only gave Tom GRAPES.,Sam didn't give Tom oranges.,,0.0,0.0,1,NEG,2,f2,text_focus,openai,gpt-5,20260519_152701,,,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,,,0,Sam only gave Sue ORANGES.,Sam also gave Sue apples.,,0.0,0.0,1,POS,2,f2,text_focus,openai,gpt-5,20260519_152701,,,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,,,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,,0.0,0.0,1,NEG,1,f2,text_focus,openai,gpt-5,20260519_152701,,,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,,,1,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,,0.0,0.0,2,NEG,2,f2,text_focus,openai,gpt-5,20260519_152701,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,,,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,,0.0,0.0,1,NEG,2,f2,text_focus,openai,gpt-5,20260519_152701,,,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,,,1,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,,0.0,0.0,2,NEG,2,f2,text_focus,openai,gpt-5,20260519_152701,,,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,,,0,Sam only gave Ellen ORANGES.,Sam also gave Ellen bananas.,,0.0,0.0,1,POS,2,f2,text_focus,openai,gpt-5,20260519_152701,,,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,,,0,Sam only gave Mary GRAPES.,Sam didn't give Mary apples.,,0.0,0.0,1,NEG,2,f2,text_focus,openai,gpt-5,20260519_152701,,,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,,,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,,0.0,0.0,1,POS,1,f2,text_focus,openai,gpt-5,20260519_152701,,,
