example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 states that Sam only gave Ellen grapes, which implies that Sam did not give grapes to anyone other than Ellen. Therefore, Sam didn't give Tom grapes is entailed.",,,1,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260428_143340,,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,,,,"S1 states that Sam only gave Ellen apples, which implies that Sam did give apples to Ellen. S2 states that Sam didn't give Ellen apples, which directly contradicts S1.",,,2,NEG,2,f3,audio,gemini,gemini-2.5-flash,20260428_143340,,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,0,C,,,,"S1 states that Sam only gave Rob grapes, which implies that Sam did not give grapes to anyone other than Rob. S2 states that Sam also gave Ellen grapes, which contradicts S1.",,,2,POS,1,f3,audio,gemini,gemini-2.5-flash,20260428_143340,,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,0,C,,,,"S1 states that Sam only gave Rob apples, which implies that Sam did not give apples to anyone other than Rob. S2 states that Sam also gave Ellen apples, which contradicts S1.",,,2,POS,1,f3,audio,gemini,gemini-2.5-flash,20260428_143340,,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,0,A,,,,"S1 states that Sam only gave Ellen apples, which implies that Sam did not give apples to anyone other than Ellen. Therefore, Sam didn't give Bill apples is entailed.",,,2,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260428_143340,,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,0,A,,,,"S1 states that Sam only gave Rob apples, which implies that Sam did not give apples to anyone other than Rob. Therefore, Sam didn't give Sue apples is entailed.",,,2,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260428_143340,,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,1,B,,,,"S1 states that Sam only gave ROB oranges (focus on Rob), which means Sam gave oranges to Rob and to no one else. It does not restrict what other items Sam might have given to Rob. Therefore, Sam also gave Rob apples is independent.",,,1,POS,2,f3,audio,gemini,gemini-2.5-flash,20260428_143340,,
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,1,B,,,,"S1 states that Sam only gave ROB apples (focus on Rob), which means Sam gave apples to Rob and to no one else. It does not restrict what other items Sam might have given to Rob. Therefore, Sam also gave Rob grapes is independent.",,,1,POS,2,f3,audio,gemini,gemini-2.5-flash,20260428_143340,,
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,,,,"S1 states that Sam only gave Rob bananas, which implies that Sam did not give bananas to anyone other than Rob. Therefore, Sam didn't give Ellen bananas is entailed.",,,1,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260428_143340,,
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,0,C,,,,"S1 states that Sam only gave Mary apples, which implies that Sam did not give apples to anyone other than Mary. S2 states that Sam also gave Ellen apples, which contradicts S1.",,,2,POS,1,f3,audio,gemini,gemini-2.5-flash,20260428_143340,,
