example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave SUE apples.,Sam also gave Rob apples.,C,0,A,,,,"Sam only gave Sue apples means that Sam gave apples to Sue and no one else. If Sam also gave Rob apples, then Sam gave apples to someone else, which contradicts the first statement.",,,1,POS,1,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,0,C,,,,"Sam only gave Bill apples means that Sam gave apples to Bill and no one else. If Sam didn't give Mary apples, this is consistent with the first statement, but it doesn't necessarily follow.",,,2,NEG,1,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,0,B,,,,"Sam only gave Mary oranges means that Sam gave oranges to Mary and no one else. If Sam also gave Ellen oranges, this contradicts the first statement.",,,1,POS,1,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,0,C,,,,"Sam only gave Ellen apples means that Sam gave apples to Ellen and no one else. If Sam didn't give Tom apples, this is consistent with the first statement, but it doesn't necessarily follow.",,,2,NEG,1,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,1,B,,,,"Sam only gave Rob bananas means that Sam gave bananas to Rob and no one else. If Sam also gave Rob oranges, this is consistent with the first statement, as it doesn't specify what else Sam gave Rob, only that he only gave bananas to Rob.",,,1,POS,2,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,0,C,,,,"Sam only gave Bill bananas means that Sam gave bananas to Bill and no one else. If Sam didn't give Bill grapes, this is consistent with the first statement, but it doesn't necessarily follow.",,,2,NEG,2,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,A,0,C,,,,"Sam only gave Ellen oranges means that Sam gave oranges to Ellen and no one else. If Sam didn't give Ellen grapes, this is consistent with the first statement, but it doesn't necessarily follow.",,,2,NEG,2,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,B,0,C,,,,"Sam only gave Mary bananas means that Sam gave bananas to Mary and no one else. If Sam didn't give Ellen bananas, this is consistent with the first statement, but it doesn't necessarily follow.",,,2,NEG,1,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,0,C,,,,"Sam only gave Bill bananas means that Sam gave bananas to Bill and no one else. If Sam didn't give Tom bananas, this is consistent with the first statement, but it doesn't necessarily follow.",,,1,NEG,1,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,A,0,C,,,,"Sam only gave Sue oranges means that Sam gave oranges to Sue and no one else. If Sam didn't give Sue grapes, this is consistent with the first statement, but it doesn't necessarily follow.",,,2,NEG,2,f4,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
