example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,0,B,,,,"S1 says “Sam only gave Tom APPLES,” focusing on apples, while S2 says “Sam also gave Tom grapes.” This adds new information that contradicts the exclusivity implied by “only” in S1.",,,2,POS,2,f10,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdouKaLnhDvy1GOxoRtetvPWubAp,
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,0,C,,,,"S1 says “Sam only gave Mary BANANAS,” focusing on bananas, while S2 says “Sam didn’t give Bill bananas.” This is unrelated to Mary and contradicts the exclusivity implied in S1.",,,2,NEG,1,f10,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdouKaLnhDvy1GOxoRtetvPWubAp,
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,0,C,,,,"S1 says “Sam only gave Mary APPLES,” focusing on apples, while S2 says “Sam also gave Mary bananas.” This contradicts the exclusivity implied by “only” in S1.",,,1,POS,2,f10,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdouKaLnhDvy1GOxoRtetvPWubAp,
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,1,A,,,,"S1 says “Sam only gave Sue APPLES,” focusing on apples, and S2 says “Sam didn’t give Rob apples.” This is consistent with the exclusivity focus on Sue receiving apples, which entails that someone else such as Rob did not receive apples.",,,1,NEG,1,f10,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdouKaLnhDvy1GOxoRtetvPWubAp,
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,1,B,,,,"S1 says “Sam only gave Bill BANANAS,” focusing on bananas, while S2 says “Sam also gave Bill grapes.” This contradicts the exclusivity of what Bill received but is not directly entailed.",,,1,POS,2,f10,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdouKaLnhDvy1GOxoRtetvPWubAp,
5,0,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,1,A,,,,"S1 says “Sam only gave Rob GRAPES,” focusing on grapes, and S2 says “Sam didn’t give Rob apples.” This is consistent with the exclusivity implied by “only” in S1, as it entails that Rob did not receive apples.",,,2,NEG,2,f10,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdouKaLnhDvy1GOxoRtetvPWubAp,
6,0,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,0,B,,,,"S1 says “Sam only gave Sue GRAPES,” focusing on grapes, while S2 says “Sam also gave Tom grapes.” This is new information about Tom and does not follow from the exclusivity focus on Sue.",,,1,POS,1,f10,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdouKaLnhDvy1GOxoRtetvPWubAp,
7,0,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,1,A,,,,"S1 says “Sam only gave Ellen GRAPES,” focusing on grapes, and S2 says “Sam didn’t give Rob grapes.” This is consistent with the exclusivity on Ellen receiving grapes, entailing that Rob did not receive them.",,,1,NEG,1,f10,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdouKaLnhDvy1GOxoRtetvPWubAp,
8,0,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,0,C,,,,"S1 says “Sam only gave Mary GRAPES,” focusing on grapes, while S2 says “Sam also gave Mary bananas.” This contradicts the exclusivity implied by “only” in S1.",,,1,POS,2,f10,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdouKaLnhDvy1GOxoRtetvPWubAp,
9,0,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,1,A,,,,"S1 says “Sam only gave Sue APPLES,” focusing on apples, and S2 says “Sam didn’t give Bill apples.” This is consistent with the exclusivity focus on Sue receiving apples, entailing that Bill did not receive them.",,,1,NEG,1,f10,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdouKaLnhDvy1GOxoRtetvPWubAp,
