example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"with focus on BILL, “only” means no one other than Bill got grapes; saying he also gave Sue grapes contradicts this.",0.0,0.0,1,POS,1,f1,oracle,openai,gpt-5,20260519_150444,,,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"with focus on SUE, “only” means no one other than Sue got oranges; giving Rob oranges contradicts this.",0.0,0.0,1,POS,1,f1,oracle,openai,gpt-5,20260519_150444,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"with focus on SUE, “only” means no one other than Sue got grapes; thus he didn’t give Ellen grapes.",0.0,0.0,1,NEG,1,f1,oracle,openai,gpt-5,20260519_150444,,,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"with focus on TOM, “only” restricts who got apples (only Tom), not what Tom got; it says nothing about grapes to Tom.",0.0,0.0,1,NEG,2,f1,oracle,openai,gpt-5,20260519_150444,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,"with focus on ORANGES, “only” means Rob got nothing other than oranges; giving Rob apples contradicts this.",0.0,0.0,2,POS,2,f1,oracle,openai,gpt-5,20260519_150444,,,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"with focus on SUE, “only” means no one other than Sue got grapes; hence Tom didn’t get grapes.",0.0,0.0,1,NEG,1,f1,oracle,openai,gpt-5,20260519_150444,,,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,"with focus on BANANAS, “only” limits what Ellen received (only bananas), not who else got bananas; S1 is silent about Mary.",0.0,0.0,2,POS,1,f1,oracle,openai,gpt-5,20260519_150444,,,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,"with focus on ROB, “only” limits who got bananas (only Rob), not what Rob got; it doesn’t rule out or entail oranges to Rob.",0.0,0.0,1,NEG,2,f1,oracle,openai,gpt-5,20260519_150444,,,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,1,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,"with focus on BANANAS, “only” means Mary got nothing other than bananas; giving her apples contradicts this.",0.0,0.0,2,POS,2,f1,oracle,openai,gpt-5,20260519_150444,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,"with focus on ORANGES, “only” limits what Sue received (only oranges), not who else got oranges; S1 doesn’t determine whether Rob got oranges.",0.0,0.0,2,NEG,1,f1,oracle,openai,gpt-5,20260519_150444,,,
