example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave BILL grapes.,Sam also gave Bill apples.,B,,,0,Sam only gave Bill GRAPES.,Sam also gave Bill apples.,,0.0,0.0,1,POS,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143344,,
1,0,Sam only gave ROB apples.,Sam also gave Rob bananas.,B,,,0,Sam only gave Rob APPLES.,Sam also gave Rob bananas.,,0.0,0.0,1,POS,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143344,,
2,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,B,,,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,,0.0,0.0,1,POS,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143344,,
3,0,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,B,,,0,Sam only gave ROB oranges.,Sam didn't give Ellen oranges.,,0.0,0.0,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143344,,
4,0,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,B,,,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,,0.0,0.0,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143344,,
5,0,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,B,,,0,Sam only gave TOM apples.,Sam didn't give Bill apples.,,0.0,0.0,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143344,,
6,0,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,B,,,0,Sam only gave TOM bananas.,Sam didn't give Sue bananas.,,0.0,0.0,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143344,,
7,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,A,,,1,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,,0.0,0.0,2,NEG,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143344,,
8,0,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,A,,,1,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,,0.0,0.0,2,NEG,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143344,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,A,,,1,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,,0.0,0.0,2,NEG,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143344,,
