example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,1,B,,,,"the first sentence focuses on ""only"" giving Ellen bananas, while the second sentence states Sam also gave Ellen grapes. This makes the second statement independent of the restriction in the first.",,,1,POS,2,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecT6eeP6zZaOyypk4VOs67qDLGf,,
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,0,A,,,,"the first sentence focuses on Sam only giving Mary apples, which implies nothing else was given to her. The second sentence, ""Sam didn’t give Mary oranges,"" follows from that because if only apples were given, then oranges were not.",,,1,NEG,2,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecT6eeP6zZaOyypk4VOs67qDLGf,,
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,0,C,,,,"the first sentence says Sam only gave Tom bananas, but the second sentence says Sam also gave Tom apples. This contradicts the first statement since ""only bananas"" excludes giving apples.",,,1,POS,2,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecT6eeP6zZaOyypk4VOs67qDLGf,,
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,0,A,,,,"the first sentence says Sam only gave Mary apples, which excludes other fruits. The second sentence stating Sam didn't give Mary grapes is consistent with that restriction.",,,1,NEG,2,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecT6eeP6zZaOyypk4VOs67qDLGf,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,0,C,,,,"the first sentence says Sam only gave Mary oranges, but the second sentence says Sam didn't give Mary apples. This directly contradicts the first because if Sam only gave her oranges, he couldn't have given her apples.",,,2,NEG,2,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecT6eeP6zZaOyypk4VOs67qDLGf,,
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,1,B,,,,"the first sentence says Sam only gave Rob apples, but the second sentence says Sam also gave Mary apples. These actions are about different recipients, so they are independent of each other.",,,2,POS,1,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecT6eeP6zZaOyypk4VOs67qDLGf,,
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,0,B,,,,"the first sentence says Sam only gave Rob apples, but the second sentence says Sam also gave Tom apples. These are about different people, so they don’t relate and are independent.",,,1,POS,1,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecT6eeP6zZaOyypk4VOs67qDLGf,,
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,,,,"the first sentence says Sam only gave Rob oranges, meaning no other fruit was given to him, so the second sentence (Sam didn’t give Rob bananas) is entailed.",,,2,NEG,2,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecT6eeP6zZaOyypk4VOs67qDLGf,,
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,1,B,,,,"the first sentence says Sam only gave Bill grapes, but the second sentence says Sam also gave Rob grapes. These actions are about different people, so they are independent.",,,2,POS,1,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecT6eeP6zZaOyypk4VOs67qDLGf,,
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,1,C,,,,"the first sentence says Sam only gave Rob grapes, which means no other fruit was given to Rob. The second sentence (Sam also gave Rob bananas) contradicts that because it would mean Rob received something other than grapes.",,,2,POS,2,f9,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZecT6eeP6zZaOyypk4VOs67qDLGf,,
