example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,,,,"S1 states that Sam only gave Rob apples, which means he didn't give Rob any other fruit. S2 states that Sam didn't give Sue apples, which is consistent with S1 because S1 doesn't say anything about what Sam gave Sue.",,,1,NEG,1,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,1,B,,,,"S1 states that Sam only gave Sue grapes, meaning he didn't give her any other fruit. S2 states that Sam also gave Sue oranges, which contradicts S1.",,,1,POS,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,0,A,,,,"S1 states that Sam only gave Sue grapes, meaning he didn't give her any other fruit. S2 states that Sam didn't give Sue bananas, which is consistent with S1.",,,1,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 states that Sam only gave Mary grapes, meaning he didn't give her any other fruit. S2 states that Sam also gave Ellen grapes, which is independent of S1 because S1 doesn't say anything about what Sam gave Ellen.",,,2,POS,1,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,0,B,,,,"S1 states that Sam only gave Rob oranges, meaning he didn't give him any other fruit. S2 states that Sam also gave Rob bananas, which contradicts S1.",,,2,POS,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,,,,"S1 states that Sam only gave Sue bananas, meaning he didn't give her any other fruit. S2 states that Sam didn't give Sue grapes, which is consistent with S1.",,,2,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,,,,"S1 states that Sam only gave Tom grapes, meaning he didn't give him any other fruit. S2 states that Sam didn't give Tom apples, which is consistent with S1.",,,2,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,0,A,,,,"S1 states that Sam only gave Tom bananas, meaning he didn't give him any other fruit. S2 states that Sam didn't give Tom grapes, which is consistent with S1.",,,1,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,0,B,,,,"S1 states that Sam only gave Rob apples, meaning he didn't give him any other fruit. S2 states that Sam also gave Rob grapes, which contradicts S1.",,,2,POS,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,1,B,,,,"S1 states that Sam only gave Ellen grapes, meaning he didn't give her any other fruit. S2 states that Sam also gave Ellen oranges, which contradicts S1.",,,1,POS,2,f6,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
