example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 focuses on ""Ellen"", meaning Sam gave bananas to no one else. It does not restrict what else Sam gave Ellen, so S2 is independent.",,,1,POS,2,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,1,B,,,,"S1 focuses on ""Mary"", meaning Sam gave apples to no one else. It does not restrict what else Sam gave Mary, so S2 is independent.",,,1,NEG,2,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,1,B,,,,"S1 focuses on ""Tom"", meaning Sam gave bananas to no one else. It does not restrict what else Sam gave Tom, so S2 is independent.",,,1,POS,2,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,1,B,,,,"S1 focuses on ""Mary"", meaning Sam gave apples to no one else. It does not restrict what else Sam gave Mary, so S2 is independent.",,,1,NEG,2,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,1,A,,,,"S1 focuses on ""oranges"", meaning Sam gave Mary nothing other than oranges. Therefore, it entails that he didn't give her apples.",,,2,NEG,2,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning Sam gave Rob nothing other than apples. It does not restrict what Sam gave to Mary, so S2 is independent.",,,2,POS,1,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,0,B,,,,"S1 focuses on ""apples"", meaning Sam gave Rob nothing other than apples. It does not restrict what Sam gave to Tom, so S2 is independent.",,,1,POS,1,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,,,,"S1 focuses on ""oranges"", meaning Sam gave Rob nothing other than oranges. Therefore, it entails that he didn't give him bananas.",,,2,NEG,2,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,1,B,,,,"S1 focuses on ""grapes"", meaning Sam gave Bill nothing other than grapes. It does not restrict what Sam gave to Rob, so S2 is independent.",,,2,POS,1,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,1,C,,,,"S1 focuses on ""grapes"", meaning Sam gave Rob nothing other than grapes. This contradicts S2, which states Sam also gave Rob bananas.",,,2,POS,2,f9,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
