example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 focuses on ""Ellen"", meaning Ellen is the only person who received grapes from Sam. Therefore, it entails that Tom did not receive grapes.",,,1,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,,,,"S1 states that Sam gave Ellen apples (and nothing else), which directly contradicts S2's claim that he didn't give her apples.",,,2,NEG,2,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 focuses on ""grapes"", meaning grapes are the only thing Sam gave Rob. This does not restrict whether he gave grapes to anyone else, like Ellen.",,,2,POS,1,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning apples are the only thing Sam gave Rob. This does not restrict whether he gave apples to anyone else, like Ellen.",,,2,POS,1,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning apples are the only thing Sam gave Ellen. This provides no information about what he gave Bill.",,,2,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning apples are the only thing Sam gave Rob. This provides no information about what he gave Sue.",,,2,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,1,B,,,,"S1 focuses on ""Rob"", meaning Rob is the only person who received oranges. This does not restrict whether Sam gave Rob other fruits like apples.",,,1,POS,2,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,1,B,,,,"S1 focuses on ""Rob"", meaning Rob is the only person who received apples. This does not restrict whether Sam gave Rob other fruits like grapes.",,,1,POS,2,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,,,,"S1 focuses on ""Rob"", meaning Rob is the only person who received bananas. Therefore, it entails that Ellen did not receive bananas.",,,1,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning apples are the only thing Sam gave Mary. This provides no information about whether he gave apples to Ellen.",,,2,POS,1,f3,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
