example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,,,,"S1 focuses on ""Rob"", meaning Sam gave apples to no one else. Therefore, it entails that he didn't give Sue apples.",,,1,NEG,1,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,1,B,,,,"S1 focuses on ""Sue"", meaning Sam gave grapes to no one else. This provides no information about whether he gave Sue oranges, making S2 independent.",,,1,POS,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,1,B,,,,"S1 focuses on ""Sue"", meaning Sam gave grapes to no one else. This provides no information about whether he gave Sue bananas, making S2 independent.",,,1,NEG,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 focuses on ""grapes"", meaning Sam gave Mary nothing else. This provides no information about what he gave Ellen, making S2 independent.",,,2,POS,1,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,,,,"S1 focuses on ""oranges"", meaning Sam gave Rob nothing else. S2 states he also gave Rob bananas, which contradicts S1.",,,2,POS,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,,,,"S1 focuses on ""bananas"", meaning Sam gave Sue nothing else. Therefore, it entails that he didn't give her grapes.",,,2,NEG,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,,,,"S1 focuses on ""grapes"", meaning Sam gave Tom nothing else. Therefore, it entails that he didn't give him apples.",,,2,NEG,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 focuses on ""Tom"", meaning Sam gave bananas to no one else. This provides no information about whether he gave Tom grapes, making S2 independent.",,,1,NEG,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,,,,"S1 focuses on ""apples"", meaning Sam gave Rob nothing else. S2 states he also gave Rob grapes, which contradicts S1.",,,2,POS,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,0,C,,,,"S1 focuses on ""grapes"", meaning Sam gave Ellen nothing else. S2 states he also gave Ellen oranges, which contradicts S1.",,,1,POS,2,f6,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
