example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,0,C,,,,"in S1, the prosodic focus is on ""Rob"": ""Sam only gave ROB bananas,"" meaning Sam gave bananas to Rob and not to anyone else. In S2, it says ""Sam didn't give Tom bananas,"" which contradicts the original focus. The original sentence implied exclusivity only with Rob, not mentioning Tom at all. Therefore, this is a contradiction.",,,1,NEG,1,f2,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnVTV18CV91s9CwMGkpHyZpR6Ac,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,1,B,,,,"in S1, the focus is on ""Tom"": ""Sam only gave TOM grapes,"" meaning Sam gave grapes to Tom and not to others. In S2, it says ""Sam didn't give Tom oranges,"" which is independent of the first sentence. The first sentence talks about grapes, while the second talks about oranges. There is no entailment or contradiction.",,,1,NEG,2,f2,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnVTV18CV91s9CwMGkpHyZpR6Ac,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,C,,,,"in S1, the focus is on ""Sue"": ""Sam only gave SUE oranges,"" meaning Sam gave oranges only to Sue and not to anyone else. In S2, it says ""Sam also gave Sue apples,"" which contradicts the exclusivity implied by the first sentence. The first sentence implies Sue only got oranges, not apples.",,,1,POS,2,f2,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnVTV18CV91s9CwMGkpHyZpR6Ac,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,0,C,,,,"in S1, the focus is on ""Sue"": ""Sam only gave SUE bananas,"" meaning that Sue received bananas and not others. In S2, it says ""Sam didn't give Rob bananas,"" which contradicts the exclusivity implication that only Sue got bananas. If only Sue got bananas, that would inherently exclude Rob, making this a contradiction.",,,1,NEG,1,f2,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnVTV18CV91s9CwMGkpHyZpR6Ac,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,0,C,,,,"in S1, the focus is on ""Tom"": ""Sam only gave TOM oranges,"" meaning Sam gave oranges to Tom and to no one else. In S2, it says ""Sam didn't give Tom bananas,"" which doesn’t match the meaning of the first sentence—S1 restricts oranges exclusively to Tom, but S2 is about the absence of giving bananas. This is a contradiction.",,,2,NEG,2,f2,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnVTV18CV91s9CwMGkpHyZpR6Ac,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,A,,,,"in S1, the focus is on ""Sue"": ""Sam only gave SUE apples,"" meaning Sue received apples and no one else did. In S2, it says ""Sam didn't give Sue oranges,"" which is consistent with the idea that Sue only got apples. S2 is entailed by the first sentence—since Sue only got apples, she didn’t get oranges.",,,1,NEG,2,f2,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnVTV18CV91s9CwMGkpHyZpR6Ac,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,,,,"in S1, the focus is on ""Sue"": ""Sam only gave SUE grapes,"" meaning Sue got grapes and no one else got grapes. In S2, it says ""Sam didn't give Sue apples,"" which is entailed by the first sentence. If Sue only got grapes, she didn't get apples.",,,2,NEG,2,f2,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnVTV18CV91s9CwMGkpHyZpR6Ac,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,1,B,,,,"in S1, the focus is on ""Ellen"": ""Sam only gave ELLEN oranges,"" meaning Sam gave oranges to Ellen and no one else. In S2, it says ""Sam also gave Ellen bananas."" This is independent. The first sentence refers to the exclusivity of oranges, while the second sentence adds another fruit not mentioned in S1. They are independent.",,,1,POS,2,f2,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnVTV18CV91s9CwMGkpHyZpR6Ac,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,,,,"in S1, the focus is on ""Mary"": ""Sam only gave MARY grapes,"" meaning Sam gave grapes to Mary and no one else received grapes. In S2, it says ""Sam didn't give Mary apples,"" which is entailed by the first sentence. If Mary only got grapes, she didn’t get apples.",,,1,NEG,2,f2,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnVTV18CV91s9CwMGkpHyZpR6Ac,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,1,C,,,,"in S1, the focus is on ""Bill"": ""Sam only gave BILL oranges,"" meaning Bill received oranges and no one else did. In S2, it says ""Sam also gave Mary oranges,"" which contradicts the exclusivity described in S1. If only Bill got oranges, then Mary shouldn’t have gotten oranges.",,,1,POS,1,f2,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnVTV18CV91s9CwMGkpHyZpR6Ac,
