example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 states that Sam only gave Ellen grapes, which means that Sam did not give grapes to anyone else. S2 states that Sam did not give Tom grapes, which is consistent with S1.",,,1,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,,,,"S1 states that Sam only gave Ellen apples, which means that Sam did not give apples to anyone else. S2 states that Sam did not give Ellen apples, which contradicts S1.",,,2,NEG,2,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 states that Sam only gave Rob grapes, which means that Sam did not give grapes to anyone else. S2 states that Sam also gave Ellen grapes, which contradicts S1.",,,2,POS,1,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,0,A,,,,"S1 states that Sam only gave Rob apples, which means that Sam did not give apples to anyone else. S2 states that Sam also gave Ellen apples, which contradicts S1.",,,2,POS,1,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,0,A,,,,"S1 states that Sam only gave Ellen apples, which means that Sam did not give apples to anyone else. S2 states that Sam did not give Bill apples, which is consistent with S1.",,,2,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,0,A,,,,"S1 states that Sam only gave Rob apples, which means that Sam did not give apples to anyone else. S2 states that Sam did not give Sue apples, which is consistent with S1.",,,2,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,1,B,,,,"S1 states that Sam only gave Rob oranges, which means that Sam did not give oranges to anyone else. S2 states that Sam also gave Rob apples, which is independent of S1.",,,1,POS,2,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,1,B,,,,"S1 states that Sam only gave Rob apples, which means that Sam did not give apples to anyone else. S2 states that Sam also gave Rob grapes, which is independent of S1.",,,1,POS,2,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,,,,"S1 states that Sam only gave Rob bananas, which means that Sam did not give bananas to anyone else. S2 states that Sam did not give Ellen bananas, which is consistent with S1.",,,1,NEG,1,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,1,B,,,,"S1 states that Sam only gave Mary apples, which means that Sam did not give apples to anyone else. S2 states that Sam also gave Ellen apples, which contradicts S1.",,,2,POS,1,f3,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
