example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,,,1,Sam only gave ELLEN grapes.,Sam didn’t give Tom grapes.,,0.0,0.038461538461538464,1,NEG,1,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnY38YvEPydLmuJl8tSqbRBFDbw,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,,,1,Sam only gave Ellen APPLES.,Sam didn’t give Ellen apples.,,0.0,0.20689655172413793,2,NEG,2,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnY38YvEPydLmuJl8tSqbRBFDbw,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,,,0,Sam only gave ROB grapes.,Sam also gave Ellen grapes.,,0.0,0.0,2,POS,1,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnY38YvEPydLmuJl8tSqbRBFDbw,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,,,1,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,,0.0,0.0,2,POS,1,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnY38YvEPydLmuJl8tSqbRBFDbw,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,,,1,Sam only gave Ellen APPLES.,Sam didn’t give Bill apples.,,0.0,0.037037037037037035,2,NEG,1,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnY38YvEPydLmuJl8tSqbRBFDbw,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,,,1,Sam only gave Rob APPLES.,Sam didn’t give Sue apples.,,0.0,0.038461538461538464,2,NEG,1,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnY38YvEPydLmuJl8tSqbRBFDbw,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,,,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,,0.0,0.0,1,POS,2,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnY38YvEPydLmuJl8tSqbRBFDbw,
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,,,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,,0.0,0.0,1,POS,2,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnY38YvEPydLmuJl8tSqbRBFDbw,
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,,,0,Sam only gave Rob BANANAS.,Sam didn’t give Ellen bananas.,,0.0,0.034482758620689655,1,NEG,1,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnY38YvEPydLmuJl8tSqbRBFDbw,
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,,,1,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,,0.0,0.0,2,POS,1,f3,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdnY38YvEPydLmuJl8tSqbRBFDbw,
