example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,,,,"S1 focuses on ""apples"", meaning Sam gave Tom apples and nothing else. S2 states Sam also gave Tom grapes, which contradicts S1.",,,2,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning Sam gave Mary bananas and nothing else. This provides no information about what Sam gave Bill, making S2 independent.",,,2,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,1,B,,,,"S1 focuses on ""Mary"", meaning Sam gave apples to Mary and no one else. This does not restrict what other items Sam might have given Mary, making S2 independent.",,,1,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,1,A,,,,"S1 focuses on ""Sue"", meaning Sam gave apples to Sue and no one else. Therefore, it entails that Sam didn't give Rob apples.",,,1,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,1,B,,,,"S1 focuses on ""Bill"", meaning Sam gave bananas to Bill and no one else. This does not restrict what other items Sam might have given Bill, making S2 independent.",,,1,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,1,A,,,,"S1 focuses on ""grapes"", meaning Sam gave Rob grapes and nothing else. Therefore, it entails that Sam didn't give Rob apples.",,,2,NEG,2,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,1,C,,,,"S1 focuses on ""Sue"", meaning Sam gave grapes to Sue and no one else. S2 states Sam also gave Tom grapes, which contradicts S1.",,,1,POS,1,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,1,A,,,,"S1 focuses on ""Ellen"", meaning Sam gave grapes to Ellen and no one else. Therefore, it entails that Sam didn't give Rob grapes.",,,1,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,1,B,,,,"S1 focuses on ""Mary"", meaning Sam gave grapes to Mary and no one else. This does not restrict what other items Sam might have given Mary, making S2 independent.",,,1,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,1,A,,,,"S1 focuses on ""Sue"", meaning Sam gave apples to Sue and no one else. Therefore, it entails that Sam didn't give Bill apples.",,,1,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
