example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,1,Sam only gave ROB apples.,Sam didn't give Sue apples.,"with focus on ROB, “only” means apples were given to no one but Rob, so Sue did not get apples.",0.0,0.0,1,NEG,1,f6,oracle,openai,gpt-5,20260519_150444,,,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,1,B,1,Sam only gave SUE grapes.,Sam also gave Sue oranges.,"with focus on SUE, “only” restricts the recipients of grapes (only Sue), not what Sue received; giving her oranges is neither entailed nor contradicted.",0.0,0.0,1,POS,2,f6,oracle,openai,gpt-5,20260519_150444,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,1,B,1,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,"with focus on SUE, “only” limits who got grapes, not whether Sue got bananas; the statement is undetermined.",0.0,0.0,1,NEG,2,f6,oracle,openai,gpt-5,20260519_150444,,,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,1,B,1,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,"with focus on GRAPES, “only” limits what Mary received (only grapes), not who else got grapes; Ellen getting grapes is independent.",0.0,0.0,2,POS,1,f6,oracle,openai,gpt-5,20260519_150444,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,1,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,"with focus on ORANGES, “only” restricts what Rob received to oranges; saying he also got bananas contradicts this.",0.0,0.0,2,POS,2,f6,oracle,openai,gpt-5,20260519_150444,,,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,1,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,"with focus on BANANAS, “only” means Sue received only bananas, so she didn’t get grapes.",0.0,0.0,2,NEG,2,f6,oracle,openai,gpt-5,20260519_150444,,,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,1,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,"with focus on GRAPES, “only” limits what Tom received to grapes, so he didn’t get apples.",0.0,0.0,2,NEG,2,f6,oracle,openai,gpt-5,20260519_150444,,,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,"with focus on TOM, “only” restricts recipients of bananas to Tom; it doesn’t say Tom didn’t get other items like grapes.",0.0,0.0,1,NEG,2,f6,oracle,openai,gpt-5,20260519_150444,,,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,1,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,"with focus on APPLES, “only” restricts what Rob received to apples; saying he also got grapes contradicts this.",0.0,0.0,2,POS,2,f6,oracle,openai,gpt-5,20260519_150444,,,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,1,B,1,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,"with focus on ELLEN, “only” restricts the recipients of grapes to Ellen; it doesn’t restrict other items given to her, so getting oranges is independent.",0.0,0.0,1,POS,2,f6,oracle,openai,gpt-5,20260519_150444,,,
