example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,0,B,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,"the focus on ROB means S1 entails Sam gave bananas to Rob and to no one else bananas; it says nothing about giving bananas to Tom (a different person), so S2 is not entailed nor contradicted.",0.0,0.0,1,NEG,1,f2,oracle,openai,gpt-5.1,20260519_145258,,,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,1,B,1,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,"the focus on TOM means S1 entails Sam gave grapes to Tom and to no one else grapes; it does not restrict what Sam might have given Tom besides grapes, so S2 about oranges is independent.",0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-5.1,20260519_145258,,,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,C,1,Sam only gave SUE oranges.,Sam also gave Sue apples.,"the focus on SUE means S1 entails that among people, only Sue got oranges; it does not limit what Sue might receive. S2 adds that Sue got apples too, which does not conflict with S1, so actually they are independent. However, per the “only”-focus logic here, S2 does not follow and is not contradicted, so this should be B, not C.",0.0,0.0,1,POS,2,f2,oracle,openai,gpt-5.1,20260519_145258,,,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,"the focus on SUE means S1 entails that Sue is the only person Sam gave bananas to; therefore Sam did not give bananas to Rob, so S2 is entailed.",0.0,0.0,1,NEG,1,f2,oracle,openai,gpt-5.1,20260519_145258,,,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,"the focus on ORANGES means S1 entails that oranges are the only thing Sam gave Tom; therefore he did not give Tom bananas, so S2 is entailed.",0.0,0.0,2,NEG,2,f2,oracle,openai,gpt-5.1,20260519_145258,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,1,B,1,Sam only gave SUE apples.,Sam didn't give Sue oranges.,"the focus on SUE means S1 entails Sue is the only person who got apples; it does not restrict what else Sue might have received, so S2 about oranges is independent.",0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-5.1,20260519_145258,,,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,1,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,"the focus on GRAPES means S1 entails grapes are the only thing Sam gave Sue; therefore he did not give her apples, so S2 is entailed.",0.0,0.0,2,NEG,2,f2,oracle,openai,gpt-5.1,20260519_145258,,,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,1,B,1,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,"the focus on ELLEN means S1 entails Ellen is the only person who got oranges; it does not prevent Sam from giving Ellen other things like bananas, so S2 is independent.",0.0,0.0,1,POS,2,f2,oracle,openai,gpt-5.1,20260519_145258,,,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,1,B,1,Sam only gave MARY grapes.,Sam didn't give Mary apples.,"the focus on MARY means S1 entails Mary is the only person who got grapes; it does not restrict what else Mary might have received, so S2 is independent.",0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-5.1,20260519_145258,,,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,1,C,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,"the focus on BILL means S1 entails Bill is the only person who got oranges; therefore Mary did not get oranges, so S2 is contradicted.",0.0,0.0,1,POS,1,f2,oracle,openai,gpt-5.1,20260519_145258,,,
