example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,"S1 states that Rob is the only recipient of oranges from Sam, so Sam did not give oranges to Tom; thus S2 follows.",0.0,0.0,1,NEG,1,f11,oracle,openai,gpt-5.1,20260519_144749,,,
1,0,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,"S1 states that Sue is the only recipient of grapes from Sam, so Sam did not give grapes to Bill; thus S2 follows.",0.0,0.0,1,NEG,1,f11,oracle,openai,gpt-5.1,20260519_144749,,,
2,0,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,A,1,A,1,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,"S1 states that Sue is the only recipient of oranges from Sam, so Sam did not give oranges to Mary; thus S2 follows.",0.0,0.0,1,NEG,1,f11,oracle,openai,gpt-5.1,20260519_144749,,,
3,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,B,1,B,1,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,"S1 restricts who got bananas, not which fruits Ellen may or may not have received; S2 is about grapes and is not determined by S1.",0.0,0.0,1,NEG,2,f11,oracle,openai,gpt-5.1,20260519_144749,,,
4,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,B,1,B,1,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,"S1 restricts who got bananas, not whether Ellen received other fruits like oranges; S2 is not entailed or contradicted by S1.",0.0,0.0,1,NEG,2,f11,oracle,openai,gpt-5.1,20260519_144749,,,
5,0,Sam only gave ROB grapes.,Sam didn't give Rob apples.,B,1,B,1,Sam only gave ROB grapes.,Sam didn't give Rob apples.,"S1 states Rob is the sole recipient of grapes, but says nothing about whether Rob got apples; S2 is independent.",0.0,0.0,1,NEG,2,f11,oracle,openai,gpt-5.1,20260519_144749,,,
6,0,Sam only gave BILL apples.,Sam also gave Ellen apples.,C,1,C,1,Sam only gave BILL apples.,Sam also gave Ellen apples.,"S1 says Bill is the only person Sam gave apples to, so Sam cannot also have given apples to Ellen; S2 contradicts S1.",0.0,0.0,1,POS,1,f11,oracle,openai,gpt-5.1,20260519_144749,,,
7,0,Sam only gave ELLEN apples.,Sam also gave Sue apples.,C,1,C,1,Sam only gave ELLEN apples.,Sam also gave Sue apples.,"S1 says Ellen is the only person Sam gave apples to, so he cannot also have given apples to Sue; S2 contradicts S1.",0.0,0.0,1,POS,1,f11,oracle,openai,gpt-5.1,20260519_144749,,,
8,0,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,"S1 says Ellen is the only person Sam gave oranges to, so he cannot also have given oranges to Rob; S2 contradicts S1.",0.0,0.0,1,POS,1,f11,oracle,openai,gpt-5.1,20260519_144749,,,
9,0,Sam only gave SUE apples.,Sam also gave Bill apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Bill apples.,"S1 says Sue is the only person Sam gave apples to, so he cannot also have given apples to Bill; S2 contradicts S1.",0.0,0.0,1,POS,1,f11,oracle,openai,gpt-5.1,20260519_144749,,,
