example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,B,0,A,,,,"S1 states that Sam only gave Ellen bananas, meaning he gave bananas to Ellen and no other fruit to Ellen. S2 states that Sam also gave Rob bananas, which is consistent with S1.",,,2,POS,1,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,,,,"S1 states that Sam only gave Rob grapes, meaning he gave grapes to Rob and no other fruit to Rob. S2 states that Sam also gave Rob oranges, which contradicts S1.",,,1,POS,2,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,0,B,,,,"S1 states that Sam only gave Tom apples, meaning he gave apples to Tom and no other fruit to Tom. S2 states that Sam also gave Bill apples, which is consistent with S1.",,,1,POS,1,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,0,B,,,,"S1 states that Sam only gave Mary apples, meaning he gave apples to Mary and no other fruit to Mary. S2 states that Sam also gave Mary bananas, which contradicts S1.",,,2,POS,2,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,0,A,,,,"S1 states that Sam only gave Ellen oranges, meaning he gave oranges to Ellen and no other fruit to Ellen. S2 states that Sam also gave Sue oranges, which is consistent with S1.",,,2,POS,1,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,A,0,B,,,,"S1 states that Sam only gave Rob oranges, meaning he gave oranges to Rob and no other fruit to Rob. S2 states that Sam didn't give Rob apples, which is consistent with S1.",,,2,NEG,2,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,B,1,B,,,,"S1 states that Sam only gave Bill bananas, meaning he gave bananas to Bill and no other fruit to Bill. S2 states that Sam didn't give Ellen bananas, which is consistent with S1.",,,2,NEG,1,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,B,0,A,,,,"S1 states that Sam only gave Rob bananas, meaning he gave bananas to Rob and no other fruit to Rob. S2 states that Sam also gave Sue bananas, which is consistent with S1.",,,2,POS,1,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,B,1,B,,,,"S1 states that Sam only gave Bill bananas, meaning he gave bananas to Bill and no other fruit to Bill. S2 states that Sam didn't give Mary bananas, which is consistent with S1.",,,2,NEG,1,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,1,B,,,,"S1 states that Sam only gave Ellen grapes, meaning he gave grapes to Ellen and no other fruit to Ellen. S2 states that Sam didn't give Rob grapes, which is consistent with S1.",,,2,NEG,1,f8,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
