example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 places prosodic focus on ""Ellen"", meaning Ellen was the only person to receive bananas. This does not restrict what other items Ellen might have received, making S2 independent.",,,1,POS,2,f9,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,1,B,,,,"S1 places prosodic focus on ""Mary"", meaning Mary was the only person to receive apples. This does not restrict what other items Mary might have received, making S2 independent.",,,1,NEG,2,f9,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,1,B,,,,"S1 places prosodic focus on ""Tom"", meaning Tom was the only person to receive bananas. This does not restrict what other items Tom might have received, making S2 independent.",,,1,POS,2,f9,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,1,B,,,,"S1 places prosodic focus on ""Mary"", meaning Mary was the only person to receive apples. This does not restrict what other items Mary might have received, making S2 independent.",,,1,NEG,2,f9,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,1,A,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only items Mary received. This entails S2, which states that Sam didn't give Mary apples.",,,2,NEG,2,f9,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,1,B,,,,"S1 places prosodic focus on ""apples"", meaning apples were the only items Rob received. This does not restrict what items other people like Mary might have received, making S2 independent.",,,2,POS,1,f9,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,1,C,,,,"S1 places prosodic focus on ""Rob"", meaning Rob was the only person to receive apples. This contradicts S2, which claims that Sam also gave Tom apples.",,,1,POS,1,f9,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only items Rob received. This entails S2, which states that Sam didn't give Rob bananas.",,,2,NEG,2,f9,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,1,B,,,,"S1 places prosodic focus on ""grapes"", meaning grapes were the only items Bill received. This does not restrict what items other people like Rob might have received, making S2 independent.",,,2,POS,1,f9,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,1,C,,,,"S1 places prosodic focus on ""grapes"", meaning grapes were the only items Rob received. This contradicts S2, which claims that Sam also gave Rob bananas.",,,2,POS,2,f9,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
