example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,"with focus on GRAPES, “only” means Ellen received nothing but grapes; saying she also got oranges contradicts this.",0.0,0.0,2,POS,2,f5,oracle,openai,gpt-5,20260519_150444,,,
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,1,C,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,"with focus on ELLEN, “only” means apples were given to no one but Ellen; giving Rob apples contradicts this.",0.0,0.0,1,POS,1,f5,oracle,openai,gpt-5,20260519_150444,,,
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,1,B,1,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,"with focus on MARY, “only” restricts who got oranges, not what Mary got; whether Mary got bananas is left open.",0.0,0.0,1,NEG,2,f5,oracle,openai,gpt-5,20260519_150444,,,
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,1,Sam only gave MARY oranges.,Sam also gave Tom oranges.,"with focus on MARY, “only” means no one but Mary got oranges; giving Tom oranges contradicts this.",0.0,0.0,1,POS,1,f5,oracle,openai,gpt-5,20260519_150444,,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,1,B,1,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,"with focus on ORANGES, “only” restricts what Mary received, not what Tom received; S2 is unrelated.",0.0,0.0,2,NEG,1,f5,oracle,openai,gpt-5,20260519_150444,,,
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,1,C,1,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,"with focus on GRAPES, “only” means Mary received nothing but grapes; saying she also got apples contradicts this.",0.0,0.0,2,POS,2,f5,oracle,openai,gpt-5,20260519_150444,,,
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Mary apples.,"with focus on SUE, “only” means apples were given to Sue alone; giving Mary apples contradicts this.",0.0,0.0,1,POS,1,f5,oracle,openai,gpt-5,20260519_150444,,,
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,1,C,1,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,"with focus on ORANGES, “only” means Bill received nothing but oranges; adding bananas contradicts this.",0.0,0.0,2,POS,2,f5,oracle,openai,gpt-5,20260519_150444,,,
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,1,C,1,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,"with focus on BANANAS, “only” means Ellen received nothing but bananas; saying she also got grapes contradicts this.",0.0,0.0,2,POS,2,f5,oracle,openai,gpt-5,20260519_150444,,,
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,"with focus on BANANAS, “only” entails Tom got no other items; thus he didn’t get oranges.",0.0,0.0,2,NEG,2,f5,oracle,openai,gpt-5,20260519_150444,,,
