example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave SUE apples.,Sam also gave Rob apples.,C,1,C,,,,"in S1, the prosodic focus is on ""Sue,"" meaning Sam only gave apples to Sue and no one else. In S2, it says Sam also gave apples to Rob. This contradicts the exclusivity implied by the focus on ""Sue"" in S1.",,,1,POS,1,f4,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdo2NbS0cf7FxgSU3EmN6JYpgGUB,
1,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,1,B,,,,"in S1, the prosodic focus is on ""Bill,"" meaning Sam only gave apples to Bill. S2 states that Sam didn’t give apples to Mary. This is an independent fact that does not follow from or contradict S1.",,,2,NEG,1,f4,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdo2NbS0cf7FxgSU3EmN6JYpgGUB,
2,0,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,0,B,,,,"in S1, the prosodic focus is on ""Mary,"" meaning Sam only gave oranges to Mary. In S2, it says Sam also gave oranges to Ellen. This is an independent fact that doesn’t follow from or contradict S1 directly.",,,1,POS,1,f4,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdo2NbS0cf7FxgSU3EmN6JYpgGUB,
3,0,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,1,B,,,,"in S1, the prosodic focus is on ""Ellen,"" meaning Sam only gave apples to Ellen. S2 states that Sam didn’t give apples to Tom. This is an independent fact that neither follows from nor contradicts S1.",,,2,NEG,1,f4,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdo2NbS0cf7FxgSU3EmN6JYpgGUB,
4,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,0,C,,,,"in S1, the focus is on ""Rob,"" meaning Sam only gave bananas to Rob. In S2, it says Sam also gave Rob oranges. This contradicts the exclusivity implied by the focus in S1.",,,1,POS,2,f4,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdo2NbS0cf7FxgSU3EmN6JYpgGUB,
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,0,B,,,,"in S1, the prosodic focus is on ""Bill,"" meaning Sam only gave bananas to Bill. In S2, it says Sam didn’t give Bill grapes. This is an independent fact that doesn’t follow from or contradict S1.",,,2,NEG,2,f4,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdo2NbS0cf7FxgSU3EmN6JYpgGUB,
6,0,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,A,0,B,,,,"in S1, the prosodic focus is on ""Ellen,"" meaning Sam only gave oranges to Ellen. S2 states that Sam didn’t give Ellen grapes. This is an independent fact that does not follow from or contradict S1.",,,2,NEG,2,f4,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdo2NbS0cf7FxgSU3EmN6JYpgGUB,
7,0,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,B,1,B,,,,"in S1, the focus is on ""Mary,"" meaning Sam only gave bananas to Mary. In S2, it says Sam didn’t give Ellen bananas. This fact is independent of S1 and does not follow from or contradict it.",,,2,NEG,1,f4,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdo2NbS0cf7FxgSU3EmN6JYpgGUB,
8,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,0,B,,,,"in S1, the focus is on ""Bill,"" meaning Sam only gave bananas to Bill. In S2, it says Sam didn’t give bananas to Tom. This is an independent fact that does not follow from or contradict S1.",,,1,NEG,1,f4,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdo2NbS0cf7FxgSU3EmN6JYpgGUB,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,A,0,B,,,,"in S1, the focus is on ""Sue,"" meaning Sam only gave oranges to Sue. In S2, it says Sam didn’t give Sue grapes. This is an independent fact that does not follow from or contradict S1.",,,2,NEG,2,f4,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdo2NbS0cf7FxgSU3EmN6JYpgGUB,
