example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,B,0,C,1,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,"""only"" implies exclusivity to Ellen, so Sam could not have given bananas to others like Rob.",0.0,0.0,2,POS,1,f8,oracle,openai,gpt-4o,20260519_142232,,,
1,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,1,Sam only gave ROB grapes.,Sam also gave Rob oranges.,"S1 specifies the exclusivity with grapes, but S2 introduces a new and unrelated piece of information about a different fruit.",0.0,0.0,1,POS,2,f8,oracle,openai,gpt-4o,20260519_142232,,,
2,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,1,C,1,Sam only gave TOM apples.,Sam also gave Bill apples.,"""only"" implies exclusivity to Tom, so Sam giving apples to Bill as well contradicts the information in S1.",0.0,0.0,1,POS,1,f8,oracle,openai,gpt-4o,20260519_142232,,,
3,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,0,B,1,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,"S1 specifies gifting exclusively with apples, while S2 introduces a new food item.",0.0,0.0,2,POS,2,f8,oracle,openai,gpt-4o,20260519_142232,,,
4,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,0,C,1,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,"""only"" indicates exclusivity to Ellen, contradicting the notion of giving oranges to Sue.",0.0,0.0,2,POS,1,f8,oracle,openai,gpt-4o,20260519_142232,,,
5,0,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,A,1,A,1,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,"if Sam only gave Rob oranges, it naturally follows that he did not give Rob other fruits like apples.",0.0,0.0,2,NEG,2,f8,oracle,openai,gpt-4o,20260519_142232,,,
6,0,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,B,0,A,1,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,"if Sam only gave the bananas to Bill, it is consistent that he did not give them to Ellen.",0.0,0.0,2,NEG,1,f8,oracle,openai,gpt-4o,20260519_142232,,,
7,0,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,B,0,C,1,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,"""only"" indicates exclusivity to Rob, so giving bananas to Sue contradicts S1.",0.0,0.0,2,POS,1,f8,oracle,openai,gpt-4o,20260519_142232,,,
8,0,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,B,0,A,1,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,"it follows from S1 that if Sam gave the bananas only to Bill, he did not give them to Mary.",0.0,0.0,2,NEG,1,f8,oracle,openai,gpt-4o,20260519_142232,,,
9,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,0,A,1,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,"S1 implies Sam did not give grapes to any other person, aligning with the statement in S2.",0.0,0.0,2,NEG,1,f8,oracle,openai,gpt-4o,20260519_142232,,,
