example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,,,,"S1 places prosodic focus on ""apples"", meaning apples were the only thing Sam gave Tom. S2 states that Sam also gave Tom grapes, which contradicts S1.",,,2,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,1,B,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Sam gave Mary. S2 discusses what Sam gave Bill, which is independent of the restriction in S1.",,,2,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,1,B,,,,"S1 places prosodic focus on ""Mary"", meaning Mary was the only person Sam gave apples to. S2 states that Sam also gave Mary bananas, which is independent of the restriction in S1.",,,1,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person Sam gave apples to. S2 states that Sam didn't give Rob apples, which is logically entailed by S1.",,,1,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,1,B,,,,"S1 places prosodic focus on ""Bill"", meaning Bill was the only person Sam gave bananas to. S2 states that Sam also gave Bill grapes, which is independent of the restriction in S1.",,,1,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,1,A,,,,"S1 places prosodic focus on ""grapes"", meaning grapes were the only thing Sam gave Rob. S2 states that Sam didn't give Rob apples, which is logically entailed by S1.",,,2,NEG,2,f10,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,1,C,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person Sam gave grapes to. S2 states that Sam also gave Tom grapes, which contradicts S1.",,,1,POS,1,f10,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,1,A,,,,"S1 places prosodic focus on ""Ellen"", meaning Ellen was the only person Sam gave grapes to. S2 states that Sam didn't give Rob grapes, which is logically entailed by S1.",,,1,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
8,0,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,1,B,,,,"S1 places prosodic focus on ""Mary"", meaning Mary was the only person Sam gave grapes to. S2 states that Sam also gave Mary bananas, which is independent of the restriction in S1.",,,1,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
9,0,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person Sam gave apples to. S2 states that Sam didn't give Bill apples, which is logically entailed by S1.",,,1,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
