example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,,,,"S1 states that Sam *only* gave Tom apples, meaning he gave Tom apples and nothing else. S2 states that Sam *also* gave Tom grapes, which contradicts the ""nothing else"" implication of S1.",,,2,POS,2,f10,audio,gemini,gemini-2.5-flash,20260428_143340,,
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,1,B,,,,"S1 states that Sam only gave Mary bananas, meaning Mary received bananas and nothing else from Sam. S2 states that Sam didn't give Bill bananas. S1 makes no claim about what Sam gave or didn't give to Bill, so S2 is independent.",,,2,NEG,1,f10,audio,gemini,gemini-2.5-flash,20260428_143340,,
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,0,C,,,,"S1 states that Sam only gave *Mary* apples, meaning Sam gave apples to Mary and to no one else. S2 states that Sam also gave Mary bananas. If Sam only gave Mary apples, then Mary could not have also received bananas from Sam. This contradicts the ""nothing else"" implication for Mary's gifts.",,,1,POS,2,f10,audio,gemini,gemini-2.5-flash,20260428_143340,,
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,0,B,,,,"S1 states that Sam only gave Sue apples, meaning Sue received apples and nothing else from Sam. S2 states that Sam didn't give Rob apples. S1 makes no claim about what Sam gave or didn't give to Rob, so S2 is independent.",,,1,NEG,1,f10,audio,gemini,gemini-2.5-flash,20260428_143340,,
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,0,C,,,,"S1 states that Sam only gave *Bill* bananas, meaning Sam gave bananas to Bill and to no one else. S2 states that Sam also gave Bill grapes. If Sam only gave Bill bananas, then Bill could not have also received grapes from Sam. This contradicts the ""nothing else"" implication for Bill's gifts.",,,1,POS,2,f10,audio,gemini,gemini-2.5-flash,20260428_143340,,
5,0,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,1,A,,,,"S1 states that Sam only gave Rob grapes, meaning Rob received grapes and nothing else from Sam. If Rob received nothing else, then it is necessarily true that Sam didn't give Rob apples.",,,2,NEG,2,f10,audio,gemini,gemini-2.5-flash,20260428_143340,,
6,0,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,0,B,,,,"S1 states that Sam only gave Sue grapes, meaning Sue received grapes and nothing else from Sam. S2 states that Sam also gave Tom grapes. S1 makes no claim about what Sam gave or didn't give to Tom, so S2 is independent.",,,1,POS,1,f10,audio,gemini,gemini-2.5-flash,20260428_143340,,
7,0,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,1,A,,,,"S1 states that Sam only gave *Ellen* grapes, meaning Sam gave grapes to Ellen and to no one else. If Sam gave grapes to no one else, then it is necessarily true that Sam didn't give Rob grapes (since Rob is not Ellen).",,,1,NEG,1,f10,audio,gemini,gemini-2.5-flash,20260428_143340,,
8,0,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,0,C,,,,"S1 states that Sam only gave *Mary* grapes, meaning Sam gave grapes to Mary and to no one else. S2 states that Sam also gave Mary bananas. If Sam only gave Mary grapes, then Mary could not have also received bananas from Sam. This contradicts the ""nothing else"" implication for Mary's gifts.",,,1,POS,2,f10,audio,gemini,gemini-2.5-flash,20260428_143340,,
9,0,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,0,B,,,,"S1 states that Sam only gave Sue apples, meaning Sue received apples and nothing else from Sam. S2 states that Sam didn't give Bill apples. S1 makes no claim about what Sam gave or didn't give to Bill, so S2 is independent.",,,1,NEG,1,f10,audio,gemini,gemini-2.5-flash,20260428_143340,,
