example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,1,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,"with focus on APPLES, “only” means Tom got nothing but apples from Sam; S2 says Tom also got grapes, which contradicts this.",0.0,0.0,2,POS,2,f10,oracle,openai,gpt-5,20260519_150444,,,
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,1,B,1,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,"with focus on BANANAS, “only” means Mary got only bananas from Sam; it says nothing about whether Bill got bananas, so S2 is independent.",0.0,0.0,2,NEG,1,f10,oracle,openai,gpt-5,20260519_150444,,,
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,1,B,1,Sam only gave MARY apples.,Sam also gave Mary bananas.,"with focus on MARY, “only” means Mary was the only person to get apples; it doesn’t restrict what else Mary received, so S2 is independent.",0.0,0.0,1,POS,2,f10,oracle,openai,gpt-5,20260519_150444,,,
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,1,A,1,Sam only gave SUE apples.,Sam didn't give Rob apples.,"with focus on SUE, “only” means Sue was the only person to get apples; therefore Rob did not get apples, as S2 states.",0.0,0.0,1,NEG,1,f10,oracle,openai,gpt-5,20260519_150444,,,
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,1,B,1,Sam only gave BILL bananas.,Sam also gave Bill grapes.,"with focus on BILL, “only” means Bill was the only person to get bananas; it doesn’t restrict what else Bill got, so S2 is independent.",0.0,0.0,1,POS,2,f10,oracle,openai,gpt-5,20260519_150444,,,
5,0,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,1,A,1,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,"with focus on GRAPES, “only” means Rob got nothing but grapes from Sam; thus he didn’t get apples, as S2 states.",0.0,0.0,2,NEG,2,f10,oracle,openai,gpt-5,20260519_150444,,,
6,0,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,1,C,1,Sam only gave SUE grapes.,Sam also gave Tom grapes.,"with focus on SUE, “only” means Sue was the only person to get grapes; S2 says Tom also got grapes, which contradicts this.",0.0,0.0,1,POS,1,f10,oracle,openai,gpt-5,20260519_150444,,,
7,0,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,1,A,1,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,"with focus on ELLEN, “only” means Ellen was the only person to get grapes; therefore Rob didn’t get grapes, as S2 states.",0.0,0.0,1,NEG,1,f10,oracle,openai,gpt-5,20260519_150444,,,
8,0,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,1,B,1,Sam only gave MARY grapes.,Sam also gave Mary bananas.,"with focus on MARY, “only” means Mary was the only person to get grapes; it doesn’t restrict what else Mary got, so S2 is independent.",0.0,0.0,1,POS,2,f10,oracle,openai,gpt-5,20260519_150444,,,
9,0,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,1,A,1,Sam only gave SUE apples.,Sam didn't give Bill apples.,"with focus on SUE, “only” means Sue was the only person to get apples; therefore Bill didn’t get apples, as S2 states.",0.0,0.0,1,NEG,1,f10,oracle,openai,gpt-5,20260519_150444,,,
