example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,"with focus on ROB, 'only' means Rob is the sole recipient of bananas; therefore Tom did not get bananas.",0.0,0.0,1,NEG,1,f2,oracle,openai,gpt-5,20260519_150444,,,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,1,B,1,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,"with focus on TOM, 'only' restricts who got grapes, not what Tom got; he may or may not have gotten oranges.",0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-5,20260519_150444,,,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,1,B,1,Sam only gave SUE oranges.,Sam also gave Sue apples.,"with focus on SUE, 'only' restricts who got oranges, not what Sue got; giving her apples is compatible but not entailed.",0.0,0.0,1,POS,2,f2,oracle,openai,gpt-5,20260519_150444,,,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,"with focus on SUE, 'only' means Sue is the sole recipient of bananas; thus Rob didn’t get bananas.",0.0,0.0,1,NEG,1,f2,oracle,openai,gpt-5,20260519_150444,,,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,"with focus on ORANGES, 'only' means oranges are the only thing Tom received; therefore he didn’t get bananas.",0.0,0.0,2,NEG,2,f2,oracle,openai,gpt-5,20260519_150444,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,1,B,1,Sam only gave SUE apples.,Sam didn't give Sue oranges.,"with focus on SUE, 'only' restricts who got apples, not what Sue got; she could have also gotten oranges.",0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-5,20260519_150444,,,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,1,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,"with focus on GRAPES, 'only' means grapes are the only thing Sue received; hence no apples.",0.0,0.0,2,NEG,2,f2,oracle,openai,gpt-5,20260519_150444,,,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,1,B,1,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,"with focus on ELLEN, 'only' restricts who got oranges, not what Ellen got; giving her bananas is compatible but not entailed.",0.0,0.0,1,POS,2,f2,oracle,openai,gpt-5,20260519_150444,,,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,1,B,1,Sam only gave MARY grapes.,Sam didn't give Mary apples.,"with focus on MARY, 'only' restricts who got grapes, not what Mary got; she may or may not have gotten apples.",0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-5,20260519_150444,,,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,1,C,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,"with focus on BILL, 'only' means Bill is the sole recipient of oranges; saying Mary also got oranges contradicts this.",0.0,0.0,1,POS,1,f2,oracle,openai,gpt-5,20260519_150444,,,
