example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,1,B,,,,"although S1 says Sam only gave Ellen bananas, S2 says Sam also gave Ellen grapes. The second sentence adds new information that doesn’t contradict the first but isn’t entailed by it either—Ellen receives something beyond bananas in S2. This makes S2 independent of S1.",,,1,POS,2,f9,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdokeSKsrn1CxPSZ6sDJTMef77wG,
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,0,C,,,,"S1 says Sam only gave Mary apples, but S2 says Sam didn’t give Mary oranges. The prosodic focus in S1 on the word “apples” implies that apples were the exclusive gift. If Sam didn’t give Mary oranges in S2, this aligns with what’s expected from S1. Therefore, S2 contradicts the exclusivity implied in S1.",,,1,NEG,2,f9,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdokeSKsrn1CxPSZ6sDJTMef77wG,
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,1,B,,,,"in S1, Sam only gave Tom bananas, while in S2, Sam also gave Tom apples. The second sentence adds a new piece of information (apples) that wasn’t mentioned in S1; it doesn’t follow logically from the focus on bananas in S1. This makes it independent.",,,1,POS,2,f9,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdokeSKsrn1CxPSZ6sDJTMef77wG,
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,0,A,,,,"in S1, Sam only gave Mary apples. The focus on “apples” implies that’s all Mary got. S2 then says Sam didn’t give Mary grapes. This follows logically from S1. If Sam only gave Mary apples, then it’s entailed that he didn’t give her grapes.",,,1,NEG,2,f9,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdokeSKsrn1CxPSZ6sDJTMef77wG,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,0,C,,,,"in S1, Sam only gave Mary oranges, and the focus is on “oranges.” S2 says Sam didn’t give Mary apples. If S1 claims Mary exclusively got oranges, then it must already entail that she didn’t get apples. But S2 is stating that negative fact explicitly. Since it’s something entailed by S1, there’s a subtle contradiction in the exclusivity. Thus, the sentences are in contradiction.",,,2,NEG,2,f9,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdokeSKsrn1CxPSZ6sDJTMef77wG,
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,1,B,,,,"in S1, Sam only gave Rob apples, and in S2, Sam also gave Mary apples. The focus in S1 is on Rob and apples, so S2 doesn’t contradict that, nor is it entailed by it. It’s new information about apples given to Mary. This makes the two independent.",,,2,POS,1,f9,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdokeSKsrn1CxPSZ6sDJTMef77wG,
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,0,B,,,,"in S1, Sam only gave Rob apples, and in S2, Sam also gave Tom apples. The focus in S1 is on Rob receiving apples alone. The information that Tom also got apples is not entailed by that, nor does it contradict it. This makes S2 independent.",,,1,POS,1,f9,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdokeSKsrn1CxPSZ6sDJTMef77wG,
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,,,,"in S1, Sam only gave Rob oranges. The focus on “oranges” means Rob exclusively got oranges. S2 says Sam didn’t give Rob bananas, which naturally follows from S1. If Rob got only oranges, then he didn’t get bananas. Therefore, S2 is entailed by S1.",,,2,NEG,2,f9,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdokeSKsrn1CxPSZ6sDJTMef77wG,
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,1,B,,,,"in S1, Sam only gave Bill grapes, and in S2, Sam also gave Rob grapes. The focus in S1 is on Bill receiving grapes exclusively. The fact that Rob also got grapes is not entailed by that, but it also doesn’t contradict it. The focus in S1 doesn’t exclude others from getting grapes. Thus, S2 is independent.",,,2,POS,1,f9,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdokeSKsrn1CxPSZ6sDJTMef77wG,
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,1,C,,,,"in S1, Sam only gave Rob grapes. The prosodic focus is on “grapes,” implying exclusive gifting. But in S2, Sam also gave Rob bananas. This contradicts the exclusivity implied by S1. Therefore, S2 is contradicted by S1.",,,2,POS,2,f9,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdokeSKsrn1CxPSZ6sDJTMef77wG,
