example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,0,B,,,,"S1 states that the only thing Sam gave Rob was bananas. It does not provide information about what Sam gave to other people, such as Tom. Therefore, S2, which states Sam didn't give Tom bananas, is independent of S1.",,,1,NEG,1,f2,audio,gemini,gemini-2.5-flash,20260428_143340,,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,1,B,,,,"S1 states that the only person Sam gave grapes to was Tom. It does not restrict what other items Sam might have given to Tom. Therefore, S2, which states Sam didn't give Tom oranges, is independent of S1.",,,1,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260428_143340,,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,1,B,,,,"S1 states that the only person Sam gave oranges to was Sue. It does not restrict what other items Sam might have given to Sue. Therefore, S2, which states Sam also gave Sue apples, is independent of S1.",,,1,POS,2,f2,audio,gemini,gemini-2.5-flash,20260428_143340,,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,,,,"S1 states that the only person Sam gave bananas to was Sue. This entails that Sam did not give bananas to anyone else, including Rob. Therefore, S2, which states Sam didn't give Rob bananas, is entailed by S1.",,,1,NEG,1,f2,audio,gemini,gemini-2.5-flash,20260428_143340,,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 states that the only thing Sam gave Tom was oranges. This entails that Sam did not give Tom anything other than oranges, including bananas. Therefore, S2, which states Sam didn't give Tom bananas, is entailed by S1.",,,2,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260428_143340,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,1,B,,,,"S1 states that the only person Sam gave apples to was Sue. It does not restrict what other items Sam might have given to Sue. Therefore, S2, which states Sam didn't give Sue oranges, is independent of S1.",,,1,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260428_143340,,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,,,,"S1 states that the only thing Sam gave Sue was grapes. This entails that Sam did not give Sue anything other than grapes, including apples. Therefore, S2, which states Sam didn't give Sue apples, is entailed by S1.",,,2,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260428_143340,,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,,,,"S1 states that the only thing Sam gave Ellen was oranges. This means Sam did not give Ellen anything else. S2 states that Sam also gave Ellen bananas, which contradicts S1's assertion that Ellen received only oranges.",,,1,POS,2,f2,audio,gemini,gemini-2.5-flash,20260428_143340,,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,1,B,,,,"S1 states that the only person Sam gave grapes to was Mary. It does not restrict what other items Sam might have given to Mary. Therefore, S2, which states Sam didn't give Mary apples, is independent of S1.",,,1,NEG,2,f2,audio,gemini,gemini-2.5-flash,20260428_143340,,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,1,C,,,,"S1 states that the only person Sam gave oranges to was Bill. This entails that Sam did not give oranges to anyone else. S2 states that Sam also gave Mary oranges, which contradicts S1's assertion that only Bill received oranges.",,,1,POS,1,f2,audio,gemini,gemini-2.5-flash,20260428_143340,,
