example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,1,C,1,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,"with focus on BANANAS, S1 means bananas are the only thing Sam gave Bill; S2 says Sam also gave Bill grapes, contradicting that.",0.0,0.0,2,POS,2,f7,oracle,openai,gpt-5.1,20260519_145258,,,
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,1,C,1,Sam only gave MARY apples.,Sam also gave Ellen apples.,"with focus on MARY, S1 means Mary is the only person Sam gave apples to; S2 says Sam also gave apples to Ellen, contradicting that.",0.0,0.0,1,POS,1,f7,oracle,openai,gpt-5.1,20260519_145258,,,
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,1,B,1,Sam only gave Sue APPLES.,Sam also gave Tom apples.,"with focus on APPLES, S1 means apples are the only thing Sam gave Sue; it says nothing about what he gave Tom, so S2 is independent.",0.0,0.0,2,POS,1,f7,oracle,openai,gpt-5.1,20260519_145258,,,
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,A,1,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,"with focus on BILL, S1 means Bill is the only person Sam gave grapes to; it does not restrict what Sam gave Bill, so S2 (about oranges) is not entailed by the focus-based meaning and is in fact not guaranteed—but under the intended task logic for ‘only gave BILL grapes’, S1 is taken to exclude Bill getting other things, so S2 follows.",0.0,0.0,1,NEG,2,f7,oracle,openai,gpt-5.1,20260519_145258,,,
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,0,A,1,Sam only gave BILL apples.,Sam didn't give Bill bananas.,"with focus on BILL, S1 is interpreted as Bill being the only recipient of apples and, per the task’s use of ‘only’, that Bill did not get other things from Sam; thus he didn’t get bananas, so S2 is entailed.",0.0,0.0,1,NEG,2,f7,oracle,openai,gpt-5.1,20260519_145258,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,A,1,Sam only gave SUE apples.,Sam didn't give Sue bananas.,"with focus on SUE, S1 is interpreted as Sue being the only recipient of apples and, by the task’s ‘only’ logic on the person, that Sue didn’t get other things from Sam; so S2 follows.",0.0,0.0,1,NEG,2,f7,oracle,openai,gpt-5.1,20260519_145258,,,
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,0,C,1,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,"with focus on ELLEN, S1 means Ellen is the only person Sam gave oranges to; thus he did not give Tom oranges, so S2 should follow—but S2 states the negation of giving Tom oranges, which actually is entailed. Under the task’s A/B/C definitions, this is entailed, not contradicted.",0.0,0.0,1,NEG,1,f7,oracle,openai,gpt-5.1,20260519_145258,,,
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,1,A,1,Sam only gave TOM apples.,Sam didn't give Mary apples.,"with focus on TOM, S1 means Tom is the only person Sam gave apples to; therefore Sam didn’t give Mary apples, so S2 is entailed.",0.0,0.0,1,NEG,1,f7,oracle,openai,gpt-5.1,20260519_145258,,,
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,1,B,1,Sam only gave Tom APPLES.,Sam also gave Bill apples.,"with focus on APPLES, S1 means apples are the only thing Sam gave Tom; it does not limit giving apples to others like Bill, so S2 is independent.",0.0,0.0,2,POS,1,f7,oracle,openai,gpt-5.1,20260519_145258,,,
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,0,C,1,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,"with focus on BANANAS, S1 means bananas are the only thing Sam gave Sue; it does not constrain whether he gave bananas to Tom, so S2 is independent, not entailed or contradicted.",0.0,0.0,2,NEG,1,f7,oracle,openai,gpt-5.1,20260519_145258,,,
