example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,B,1,B,1,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,"with focus on the gift (BANANAS), “only” means Ellen received nothing but bananas; it says nothing about who else might have gotten bananas. So S2 is compatible but not entailed.",0.0,0.0,2,POS,1,f8,oracle,openai,gpt-5,20260519_150444,,,
1,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,1,Sam only gave ROB grapes.,Sam also gave Rob oranges.,"with focus on the recipient (ROB), “only” means no one other than Rob got grapes; it does not restrict what Rob might have received. So giving Rob oranges is compatible but not entailed.",0.0,0.0,1,POS,2,f8,oracle,openai,gpt-5,20260519_150444,,,
2,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,1,C,1,Sam only gave TOM apples.,Sam also gave Bill apples.,"with focus on the recipient (TOM), “only” means Tom was the only person to get apples; S2 says Bill also got apples, contradicting S1.",0.0,0.0,1,POS,1,f8,oracle,openai,gpt-5,20260519_150444,,,
3,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,1,C,1,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,"with focus on the gift (APPLES), “only” means Mary didn’t get anything other than apples; S2 says she also got bananas, contradicting S1.",0.0,0.0,2,POS,2,f8,oracle,openai,gpt-5,20260519_150444,,,
4,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,1,B,1,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,"with focus on the gift (ORANGES), “only” limits what Ellen received, not who else might receive oranges; S2 is independent.",0.0,0.0,2,POS,1,f8,oracle,openai,gpt-5,20260519_150444,,,
5,0,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,A,1,A,1,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,"with focus on the gift (ORANGES), “only” means Rob received no items other than oranges; thus he didn’t get apples.",0.0,0.0,2,NEG,2,f8,oracle,openai,gpt-5,20260519_150444,,,
6,0,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,B,1,B,1,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,"with focus on the gift (BANANAS), “only” limits Bill’s received items, not others’ receipts; S2 is not entailed.",0.0,0.0,2,NEG,1,f8,oracle,openai,gpt-5,20260519_150444,,,
7,0,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,B,1,B,1,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,"with focus on the gift (BANANAS), “only” restricts what Rob got, not who else might get bananas; S2 is independent.",0.0,0.0,2,POS,1,f8,oracle,openai,gpt-5,20260519_150444,,,
8,0,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,B,1,B,1,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,"with focus on the gift (BANANAS), “only” limits Bill’s gifts, not whether Mary got bananas; S2 is independent.",0.0,0.0,2,NEG,1,f8,oracle,openai,gpt-5,20260519_150444,,,
9,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,1,B,1,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,"with focus on the gift (GRAPES), “only” says Ellen got nothing but grapes; it doesn’t say whether others (like Rob) got grapes. So S2 is independent.",0.0,0.0,2,NEG,1,f8,oracle,openai,gpt-5,20260519_150444,,,
