example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Bill apples.,B,0,C,1,Sam only gave BILL grapes.,Sam also gave Bill apples.,"S1 says the only thing Sam did (relevantly) was give Bill grapes, which excludes his also giving Bill apples, so S2 contradicts S1.",0.0,0.0,1,POS,2,f12,oracle,openai,gpt-5.1,20260519_144749,,,
1,0,Sam only gave ROB apples.,Sam also gave Rob bananas.,B,0,C,1,Sam only gave ROB apples.,Sam also gave Rob bananas.,"S1 says the only thing Sam did was give Rob apples, which excludes his also giving Rob bananas, so S2 contradicts S1.",0.0,0.0,1,POS,2,f12,oracle,openai,gpt-5.1,20260519_144749,,,
2,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,B,0,C,1,Sam only gave ROB grapes.,Sam also gave Rob bananas.,"S1 says the only thing Sam did was give Rob grapes, which excludes his also giving Rob bananas, so S2 contradicts S1.",0.0,0.0,1,POS,2,f12,oracle,openai,gpt-5.1,20260519_144749,,,
3,0,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,B,1,B,1,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,"S1 restricts what Sam gave Rob, but says nothing about what he did or did not give Ellen, so S2 is independent.",0.0,0.0,2,NEG,1,f12,oracle,openai,gpt-5.1,20260519_144749,,,
4,0,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,B,1,B,1,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,"S1 restricts what Sam gave Sue, but does not state whether he gave apples to Rob, so S2 is independent.",0.0,0.0,2,NEG,1,f12,oracle,openai,gpt-5.1,20260519_144749,,,
5,0,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,B,1,B,1,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,"S1 restricts what Sam gave Tom, but is silent about whether he gave apples to Bill, so S2 is independent.",0.0,0.0,2,NEG,1,f12,oracle,openai,gpt-5.1,20260519_144749,,,
6,0,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,B,1,B,1,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,"S1 restricts what Sam gave Tom, but does not mention what he gave Sue, so S2 is independent.",0.0,0.0,2,NEG,1,f12,oracle,openai,gpt-5.1,20260519_144749,,,
7,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,A,1,A,1,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,"if Sam only gave Sue apples, then he did not give her anything else, including oranges, so S2 is entailed.",0.0,0.0,2,NEG,2,f12,oracle,openai,gpt-5.1,20260519_144749,,,
8,0,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,A,1,A,1,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,"if Sam only gave Sue bananas, he did not give her other fruit, including oranges, so S2 is entailed.",0.0,0.0,2,NEG,2,f12,oracle,openai,gpt-5.1,20260519_144749,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,A,1,A,1,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,"if Sam only gave Sue oranges, then he did not give her anything else, including bananas, so S2 is entailed.",0.0,0.0,2,NEG,2,f12,oracle,openai,gpt-5.1,20260519_144749,,,
