example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,"S1 states that Sam only gave Ellen grapes, meaning he did not give her oranges. S2 states that Sam also gave Ellen oranges, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,0,B,,,,"S1 states that Sam only gave Ellen apples, meaning he did not give apples to anyone else. S2 states that Sam also gave Rob apples, which contradicts S1.",,,1,POS,1,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,1,B,,,,"S1 states that Sam only gave Mary oranges, meaning he did not give her bananas. S2 states that Sam didn't give Mary bananas, which is consistent with S1 but not entailed.",,,1,NEG,2,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,,,,"S1 states that Sam only gave Mary oranges, meaning he did not give oranges to anyone else. S2 states that Sam also gave Tom oranges, which contradicts S1.",,,1,POS,1,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,1,B,,,,"S1 states that Sam only gave Mary oranges, meaning he did not give oranges to anyone else. S2 states that Sam didn't give Tom oranges, which is consistent with S1 but not entailed.",,,2,NEG,1,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,0,B,,,,"S1 states that Sam only gave Mary grapes, meaning he did not give her apples. S2 states that Sam also gave Mary apples, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,1,C,,,,"S1 states that Sam only gave Sue apples, meaning he did not give apples to anyone else. S2 states that Sam also gave Mary apples, which contradicts S1.",,,1,POS,1,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,0,B,,,,"S1 states that Sam only gave Bill oranges, meaning he did not give him bananas. S2 states that Sam also gave Bill bananas, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,0,B,,,,"S1 states that Sam only gave Ellen bananas, meaning he did not give her grapes. S2 states that Sam also gave Ellen grapes, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,0,B,,,,"S1 states that Sam only gave Tom bananas, meaning he did not give him oranges. S2 states that Sam didn't give Tom oranges, which is consistent with S1 but not entailed.",,,2,NEG,2,f5,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
