example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave SUE apples.,Sam also gave Rob apples.,C,,,1,Sam only gave SUE apples.,Sam also gave Rob apples.,,0.0,0.0,1,POS,1,f4,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZebiLIxZ1qBrJ6cYbZY8x6GVx71N,,
1,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,,,0,Sam only gave BILL apples.,Sam didn’t give Mary apples.,,0.0,0.037037037037037035,2,NEG,1,f4,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZebiLIxZ1qBrJ6cYbZY8x6GVx71N,,
2,0,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,,,1,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,,0.0,0.0,1,POS,1,f4,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZebiLIxZ1qBrJ6cYbZY8x6GVx71N,,
3,0,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,,,0,Sam only gave ELLEN apples.,Sam didn’t give Tom apples.,,0.0,0.038461538461538464,2,NEG,1,f4,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZebiLIxZ1qBrJ6cYbZY8x6GVx71N,,
4,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,,,1,Sam only gave ROB bananas.,Sam also gave Rob oranges.,,0.0,0.0,1,POS,2,f4,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZebiLIxZ1qBrJ6cYbZY8x6GVx71N,,
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,,,0,Sam only gave BILL bananas.,Sam didn’t give Bill grapes.,,0.0,0.037037037037037035,2,NEG,2,f4,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZebiLIxZ1qBrJ6cYbZY8x6GVx71N,,
6,0,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,A,,,0,Sam only gave ELLEN oranges.,Sam didn’t give Ellen grapes.,,0.0,0.03571428571428571,2,NEG,2,f4,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZebiLIxZ1qBrJ6cYbZY8x6GVx71N,,
7,0,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,B,,,0,Sam only gave MARY bananas.,Sam didn’t give Ellen bananas.,,0.0,0.034482758620689655,2,NEG,1,f4,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZebiLIxZ1qBrJ6cYbZY8x6GVx71N,,
8,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,,,1,Sam only gave BILL bananas.,Sam didn’t give Tom bananas.,,0.0,0.037037037037037035,1,NEG,1,f4,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZebiLIxZ1qBrJ6cYbZY8x6GVx71N,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,A,,,0,Sam only gave SUE oranges.,Sam didn’t give Sue grapes.,,0.0,0.038461538461538464,2,NEG,2,f4,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZebiLIxZ1qBrJ6cYbZY8x6GVx71N,,
