example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Bill apples.,B,0,A,,,,"S1 states that Sam only gave Bill grapes, meaning he did not give Bill any other fruit. S2 states that Sam also gave Bill apples, which contradicts S1.",,,1,POS,2,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave ROB apples.,Sam also gave Rob bananas.,B,0,C,,,,"S1 states that Sam only gave Rob apples, meaning he did not give Rob any other fruit. S2 states that Sam also gave Rob bananas, which contradicts S1.",,,1,POS,2,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,B,0,C,,,,"S1 states that Sam only gave Rob grapes, meaning he did not give Rob any other fruit. S2 states that Sam also gave Rob bananas, which contradicts S1.",,,1,POS,2,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,B,1,B,,,,"S1 states that Sam only gave Rob oranges, meaning he did not give Rob any other fruit. S2 states that Sam didn't give Ellen oranges, which is independent of what Sam gave Rob.",,,2,NEG,1,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,B,1,B,,,,"S1 states that Sam only gave Sue apples, meaning he did not give Sue any other fruit. S2 states that Sam didn't give Rob apples, which is independent of what Sam gave Sue.",,,2,NEG,1,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,B,1,B,,,,"S1 states that Sam only gave Tom apples, meaning he did not give Tom any other fruit. S2 states that Sam didn't give Bill apples, which is independent of what Sam gave Tom.",,,2,NEG,1,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,B,1,B,,,,"S1 states that Sam only gave Tom bananas, meaning he did not give Tom any other fruit. S2 states that Sam didn't give Sue bananas, which is independent of what Sam gave Tom.",,,2,NEG,1,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,A,0,B,,,,"S1 states that Sam only gave Sue apples, meaning he did not give Sue any other fruit. S2 states that Sam didn't give Sue oranges, which is consistent with S1.",,,2,NEG,2,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,A,0,B,,,,"S1 states that Sam only gave Sue bananas, meaning he did not give Sue any other fruit. S2 states that Sam didn't give Sue oranges, which is consistent with S1.",,,2,NEG,2,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,A,0,B,,,,"S1 states that Sam only gave Sue oranges, meaning he did not give Sue any other fruit. S2 states that Sam didn't give Sue bananas, which is consistent with S1.",,,2,NEG,2,f12,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
