example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave BILL grapes.,Sam also gave Bill apples.,B,1,B,,,,"the prosodic focus in S1 is on ""BILL"", meaning Bill is the only person Sam gave grapes to. This does not restrict what other items Sam might have given Bill, so S2 (Sam also gave Bill apples) is independent.",,,1,POS,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave ROB apples.,Sam also gave Rob bananas.,B,1,B,,,,"the prosodic focus in S1 is on ""ROB"", meaning Rob is the only person Sam gave apples to. This does not restrict what other items Sam might have given Rob, so S2 (Sam also gave Rob bananas) is independent.",,,1,POS,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,B,1,B,,,,"the prosodic focus in S1 is on ""ROB"", meaning Rob is the only person Sam gave grapes to. This does not restrict what other items Sam might have given Rob, so S2 (Sam also gave Rob bananas) is independent.",,,1,POS,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,B,0,A,,,,"the prosodic focus in S1 is on ""ROB"", meaning Rob is the only person Sam gave oranges to. This entails that Sam did not give oranges to anyone else, including Ellen, making S2 entailed.",,,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,B,0,A,,,,"the prosodic focus in S1 is on ""SUE"", meaning Sue is the only person Sam gave apples to. This entails that Sam did not give apples to anyone else, including Rob, making S2 entailed.",,,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,B,0,A,,,,"the prosodic focus in S1 is on ""TOM"", meaning Tom is the only person Sam gave apples to. This entails that Sam did not give apples to anyone else, including Bill, making S2 entailed.",,,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,B,0,A,,,,"the prosodic focus in S1 is on ""TOM"", meaning Tom is the only person Sam gave bananas to. This entails that Sam did not give bananas to anyone else, including Sue, making S2 entailed.",,,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,A,1,A,,,,"the prosodic focus in S1 is on ""APPLES"", meaning apples are the only thing Sam gave Sue. This entails that Sam did not give Sue anything else, including oranges, making S2 entailed.",,,2,NEG,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
8,0,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,A,1,A,,,,"the prosodic focus in S1 is on ""BANANAS"", meaning bananas are the only thing Sam gave Sue. This entails that Sam did not give Sue anything else, including oranges, making S2 entailed.",,,2,NEG,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,A,1,A,,,,"the prosodic focus in S1 is on ""ORANGES"", meaning oranges are the only thing Sam gave Sue. This entails that Sam did not give Sue anything else, including bananas, making S2 entailed.",,,2,NEG,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
