example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,1,C,,,,"S1 focuses on ""bananas"", meaning bananas were the only thing Sam gave Bill. S2 says Sam gave Bill grapes, which contradicts S1.",,,2,POS,2,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,1,C,,,,"S1 focuses on ""Mary"", meaning Mary was the only person Sam gave apples to. S2 says Sam gave Ellen apples, which contradicts S1.",,,1,POS,1,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning apples were the only thing Sam gave Sue. This does not restrict what Sam gave to Tom, so S2 is independent.",,,2,POS,1,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,1,B,,,,"S1 focuses on ""Bill"", meaning Bill was the only person Sam gave grapes to. This does not restrict whether Sam gave Bill other things like oranges, so S2 is independent.",,,1,NEG,2,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,1,B,,,,"S1 focuses on ""Bill"", meaning Bill was the only person Sam gave apples to. This does not restrict whether Sam gave Bill bananas, so S2 is independent.",,,1,NEG,2,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,A,,,,"S1 focuses on ""apples"", meaning apples were the only thing Sam gave Sue. This entails that Sam did not give Sue bananas.",,,1,NEG,2,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,1,A,,,,"S1 focuses on ""Ellen"", meaning Ellen was the only person Sam gave oranges to. This entails that Sam did not give Tom oranges.",,,1,NEG,1,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,1,A,,,,"S1 focuses on ""Tom"", meaning Tom was the only person Sam gave apples to. This entails that Sam did not give Mary apples.",,,1,NEG,1,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,1,B,,,,"S1 focuses on ""apples"", meaning apples were the only thing Sam gave Tom. This does not restrict whether Sam gave apples to Bill, so S2 is independent.",,,2,POS,1,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning bananas were the only thing Sam gave Sue. This does not restrict whether Sam gave bananas to Tom, so S2 is independent.",,,2,NEG,1,f7,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
