example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,,,,"S2 (Sam didn’t give Sue apples) is consistent with S1 (Sam only gave Rob apples). If Sam only gave Rob apples, then Sue did not receive apples, so S2 is entailed by S1.",,,1,NEG,1,f6,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZec3JfWeSMSD0gcgOTOyxKgB9wZ8,,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,0,C,,,,"S2 (Sam also gave Sue oranges) contradicts S1 (Sam only gave Sue grapes). ""Only gave Sue grapes"" means she didn’t get oranges, so this is a contradiction.",,,1,POS,2,f6,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZec3JfWeSMSD0gcgOTOyxKgB9wZ8,,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,0,A,,,,"S2 (Sam didn’t give Sue bananas) is consistent with S1 (Sam only gave Sue grapes). If Sam only gave Sue grapes, then Sue didn’t get bananas, so S2 is entailed.",,,1,NEG,2,f6,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZec3JfWeSMSD0gcgOTOyxKgB9wZ8,,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,1,B,,,,"S2 (Sam also gave Ellen grapes) is independent of S1 (Sam only gave Mary grapes). The statement about Mary does not constrain or mention Ellen, so we cannot deduce the second sentence from the first. They are independent.",,,2,POS,1,f6,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZec3JfWeSMSD0gcgOTOyxKgB9wZ8,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,0,B,,,,S2 (Sam also gave Rob bananas) is independent of S1 (Sam only gave Rob oranges). The statement about oranges doesn’t exclude the possibility of Rob also getting bananas. They do not contradict or entail each other.,,,2,POS,2,f6,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZec3JfWeSMSD0gcgOTOyxKgB9wZ8,,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,0,C,,,,"S2 (Sam didn’t give Sue grapes) contradicts S1 (Sam only gave Sue bananas). ""Only gave Sue bananas"" means Sue did not receive grapes, so S2 contradicts S1.",,,2,NEG,2,f6,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZec3JfWeSMSD0gcgOTOyxKgB9wZ8,,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,,,,"S2 (Sam didn’t give Tom apples) is consistent with S1 (Sam only gave Tom grapes). If Tom only got grapes, then he didn’t get apples, so S2 is entailed by S1.",,,2,NEG,2,f6,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZec3JfWeSMSD0gcgOTOyxKgB9wZ8,,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,0,A,,,,"S2 (Sam didn’t give Tom grapes) is consistent with S1 (Sam only gave Tom bananas). If Tom only got bananas, then he didn’t get grapes, so S2 is entailed.",,,1,NEG,2,f6,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZec3JfWeSMSD0gcgOTOyxKgB9wZ8,,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,0,B,,,,S2 (Sam also gave Rob grapes) is independent of S1 (Sam only gave Rob apples). The statement about apples does not stop the possibility of Rob also getting grapes. They are independent.,,,2,POS,2,f6,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZec3JfWeSMSD0gcgOTOyxKgB9wZ8,,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,1,B,,,,"S2 (Sam also gave Ellen oranges) is independent of S1 (Sam only gave Ellen grapes). The statement about grapes doesn’t exclude the possibility of Ellen also getting oranges, so they are independent.",,,1,POS,2,f6,audio,openai,gpt-4o-audio-preview,20260428_152454,chatcmpl-DZec3JfWeSMSD0gcgOTOyxKgB9wZ8,,
