example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave BILL grapes.,Sam also gave Bill apples.,B,1,B,1,Sam only gave BILL grapes.,Sam also gave Bill apples.,"S1 indicates that Bill was the only person to receive grapes, but it does not restrict what other items Bill might have received. Therefore, whether Sam gave Bill apples is independent of S1.",0.0,0.0,1,POS,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
1,0,Sam only gave ROB apples.,Sam also gave Rob bananas.,B,1,B,1,Sam only gave ROB apples.,Sam also gave Rob bananas.,"S1 indicates that Rob was the only person to receive apples, but it does not restrict what other items Rob might have received. Therefore, whether Sam gave Rob bananas is independent of S1.",0.0,0.0,1,POS,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
2,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,B,1,B,1,Sam only gave ROB grapes.,Sam also gave Rob bananas.,"S1 indicates that Rob was the only person to receive grapes, but it does not restrict what other items Rob might have received. Therefore, whether Sam gave Rob bananas is independent of S1.",0.0,0.0,1,POS,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
3,0,Sam only gave Rob ORANGES.,Sam didn't give Ellen oranges.,B,0,A,0,Sam only gave ROB oranges.,Sam didn't give Ellen oranges.,"S1 indicates that Rob was the only person to receive oranges. This logically entails that no one else, including Ellen, received oranges.",0.0,0.0,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
4,0,Sam only gave Sue APPLES.,Sam didn't give Rob apples.,B,0,A,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,"S1 indicates that Sue was the only person to receive apples. This logically entails that no one else, including Rob, received apples.",0.0,0.0,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
5,0,Sam only gave Tom APPLES.,Sam didn't give Bill apples.,B,0,A,0,Sam only gave TOM apples.,Sam didn't give Bill apples.,"S1 indicates that Tom was the only person to receive apples. This logically entails that no one else, including Bill, received apples.",0.0,0.0,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
6,0,Sam only gave Tom BANANAS.,Sam didn't give Sue bananas.,B,0,A,0,Sam only gave TOM bananas.,Sam didn't give Sue bananas.,"S1 indicates that Tom was the only person to receive bananas. This logically entails that no one else, including Sue, received bananas.",0.0,0.0,2,NEG,1,f12,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
7,0,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,A,1,A,1,Sam only gave Sue APPLES.,Sam didn't give Sue oranges.,"S1 indicates that apples were the only items Sam gave to Sue. This logically entails that Sam did not give Sue any other items, including oranges.",0.0,0.0,2,NEG,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
8,0,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,A,1,A,1,Sam only gave Sue BANANAS.,Sam didn't give Sue oranges.,"S1 indicates that bananas were the only items Sam gave to Sue. This logically entails that Sam did not give Sue any other items, including oranges.",0.0,0.0,2,NEG,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,A,1,A,1,Sam only gave Sue ORANGES.,Sam didn't give Sue bananas.,"S1 indicates that oranges were the only items Sam gave to Sue. This logically entails that Sam did not give Sue any other items, including bananas.",0.0,0.0,2,NEG,2,f12,audio,gemini,gemini-3.1-pro-preview,20260428_141226,,
