example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,"S1 focuses on ""grapes"", meaning Sam gave Ellen grapes and no other fruit. S2 says he gave her oranges, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,1,C,,,,"S1 focuses on ""Ellen"", meaning Sam gave apples to Ellen and no one else. S2 says he gave apples to Rob, which contradicts S1.",,,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,1,B,,,,"S1 focuses on ""Mary"", meaning Sam gave oranges to Mary and no one else. This does not entail or contradict whether he gave Mary bananas, making S2 independent.",,,1,NEG,2,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,,,,"S1 focuses on ""Mary"", meaning Sam gave oranges to Mary and no one else. S2 says he gave oranges to Tom, which contradicts S1.",,,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,1,B,,,,"S1 focuses on ""oranges"", meaning Sam gave Mary oranges and no other fruit. This does not entail or contradict whether he gave Tom oranges, making S2 independent.",,,2,NEG,1,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,1,C,,,,"S1 focuses on ""grapes"", meaning Sam gave Mary grapes and no other fruit. S2 says he gave her apples, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,1,C,,,,"S1 focuses on ""Sue"", meaning Sam gave apples to Sue and no one else. S2 says he gave apples to Mary, which contradicts S1.",,,1,POS,1,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,1,C,,,,"S1 focuses on ""oranges"", meaning Sam gave Bill oranges and no other fruit. S2 says he gave him bananas, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,1,C,,,,"S1 focuses on ""bananas"", meaning Sam gave Ellen bananas and no other fruit. S2 says he gave her grapes, which contradicts S1.",,,2,POS,2,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,,,,"S1 focuses on ""bananas"", meaning Sam gave Tom bananas and no other fruit. This entails that he didn't give Tom oranges, which is exactly what S2 states.",,,2,NEG,2,f5,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
