example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,0,A,,,,"if Sam only gave Ellen bananas, then he didn't give her anything else, including grapes.",,,1,POS,2,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,0,A,,,,"if Sam only gave Mary apples, then he didn't give her anything else, including oranges.",,,1,NEG,2,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,1,B,,,,"Sam only gave Tom bananas, but he could have given him apples as well.",,,1,POS,2,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,0,A,,,,"if Sam only gave Mary apples, then he didn't give her anything else, including grapes.",,,1,NEG,2,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,1,A,,,,"if Sam only gave Mary oranges, then he didn't give her anything else, including apples.",,,2,NEG,2,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,1,B,,,,"Sam only gave Rob apples, but he could have given Mary apples as well.",,,2,POS,1,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,0,B,,,,"Sam only gave Rob apples, but he could have given Tom apples as well.",,,1,POS,1,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,,,,"if Sam only gave Rob oranges, then he didn't give him anything else, including bananas.",,,2,NEG,2,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,1,B,,,,"Sam only gave Bill grapes, but he could have given Rob grapes as well.",,,2,POS,1,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,0,B,,,,"Sam only gave Rob grapes, but he could have given Rob bananas as well.",,,2,POS,2,f9,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
