example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,0,C,1,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,"the statement ""Sam only gave ELLEN bananas"" implies that Ellen only received bananas, so ""Sam also gave Ellen grapes"" contradicts this.",0.0,0.0,1,POS,2,f9,oracle,openai,gpt-4o,20260519_142232,,,
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,0,A,1,Sam only gave MARY apples.,Sam didn't give Mary oranges.,"if Sam only gave Mary apples, it follows that he did not give her anything else, including oranges.",0.0,0.0,1,NEG,2,f9,oracle,openai,gpt-4o,20260519_142232,,,
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,0,C,1,Sam only gave TOM bananas.,Sam also gave Tom apples.,"the statement ""Sam only gave TOM bananas"" implies that Tom only received bananas, so ""Sam also gave Tom apples"" contradicts this.",0.0,0.0,1,POS,2,f9,oracle,openai,gpt-4o,20260519_142232,,,
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,0,A,1,Sam only gave MARY apples.,Sam didn't give Mary grapes.,"if Sam only gave Mary apples, it follows that he did not give her anything else, including grapes.",0.0,0.0,1,NEG,2,f9,oracle,openai,gpt-4o,20260519_142232,,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,1,A,1,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,"if Sam only gave Mary oranges, it follows that he did not give her anything else, including apples.",0.0,0.0,2,NEG,2,f9,oracle,openai,gpt-4o,20260519_142232,,,
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,1,B,1,Sam only gave Rob APPLES.,Sam also gave Mary apples.,"the statement ""Sam only gave Rob APPLES"" pertains specifically to what Rob received and doesn't restrict what Mary could have received.",0.0,0.0,2,POS,1,f9,oracle,openai,gpt-4o,20260519_142232,,,
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,0,B,1,Sam only gave ROB apples.,Sam also gave Tom apples.,"the statement ""Sam only gave ROB apples"" pertains specifically to what Rob received and doesn't restrict what Tom could have received.",0.0,0.0,1,POS,1,f9,oracle,openai,gpt-4o,20260519_142232,,,
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,1,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,"if Sam only gave Rob oranges, it follows that he did not give him anything else, including bananas.",0.0,0.0,2,NEG,2,f9,oracle,openai,gpt-4o,20260519_142232,,,
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,1,B,1,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,"the statement ""Sam only gave Bill GRAPES"" pertains specifically to what Bill received and doesn't restrict what Rob could have received.",0.0,0.0,2,POS,1,f9,oracle,openai,gpt-4o,20260519_142232,,,
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,1,C,1,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,"the statement ""Sam only gave Rob GRAPES"" implies that Rob only received grapes, so ""Sam also gave Rob bananas"" contradicts this.",0.0,0.0,2,POS,2,f9,oracle,openai,gpt-4o,20260519_142232,,,
