example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,,,,"S1 states that Sam only gave Tom apples, meaning he did not give Tom grapes. S2 states that Sam also gave Tom grapes, which contradicts S1.",,,2,POS,2,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,1,B,,,,"S1 states that Sam only gave Mary bananas, meaning he did not give Bill bananas. S2 states that Sam didn't give Bill bananas, which is consistent with S1 but not entailed.",,,2,NEG,1,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,0,C,,,,"S1 states that Sam only gave Mary apples, meaning he did not give Mary bananas. S2 states that Sam also gave Mary bananas, which contradicts S1.",,,1,POS,2,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,0,B,,,,"S1 states that Sam only gave Sue apples, meaning he did not give Rob apples. S2 states that Sam didn't give Rob apples, which is consistent with S1 but not entailed.",,,1,NEG,1,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,0,C,,,,"S1 states that Sam only gave Bill bananas, meaning he did not give Bill grapes. S2 states that Sam also gave Bill grapes, which contradicts S1.",,,1,POS,2,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
5,0,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,0,B,,,,"S1 states that Sam only gave Rob grapes, meaning he did not give Rob apples. S2 states that Sam didn't give Rob apples, which is consistent with S1 but not entailed.",,,2,NEG,2,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
6,0,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,1,C,,,,"S1 states that Sam only gave Sue grapes, meaning he did not give Tom grapes. S2 states that Sam also gave Tom grapes, which contradicts S1.",,,1,POS,1,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
7,0,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,0,B,,,,"S1 states that Sam only gave Ellen grapes, meaning he did not give Rob grapes. S2 states that Sam didn't give Rob grapes, which is consistent with S1 but not entailed.",,,1,NEG,1,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
8,0,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,0,C,,,,"S1 states that Sam only gave Mary grapes, meaning he did not give Mary bananas. S2 states that Sam also gave Mary bananas, which contradicts S1.",,,1,POS,2,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
9,0,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,0,B,,,,"S1 states that Sam only gave Sue apples, meaning he did not give Bill apples. S2 states that Sam didn't give Bill apples, which is consistent with S1 but not entailed.",,,1,NEG,1,f10,audio,gemini,gemini-2.5-flash,20260713_154251,,,,
