example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,"the prosodic focus in S1 is on ""grapes,"" which means Sam gave Ellen only grapes and no other fruit. S2 claims Sam also gave Ellen oranges, which contradicts the exclusivity signaled by ""only"" in S1.",,,2,POS,2,f5,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoCzQkUntZZAUDAvD4A6cKF0itm,
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,1,C,,,,"the focus in S1 is on ""Ellen,"" meaning Sam gave only Ellen apples and no one else. S2 says Sam also gave Rob apples, contradicting the exclusivity in S1.",,,1,POS,1,f5,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoCzQkUntZZAUDAvD4A6cKF0itm,
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,1,B,,,,"S1 focuses on ""Mary"" and ""oranges,"" meaning Sam only gave Mary oranges and no other fruit to Mary. S2 says Sam didn’t give Mary bananas, which is consistent with S1, but is additional information not entailed by it. They are independent.",,,1,NEG,2,f5,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoCzQkUntZZAUDAvD4A6cKF0itm,
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,,,,"S1 focuses on ""Mary"" and ""oranges,"" meaning Sam only gave Mary oranges. S2 states Sam also gave Tom oranges, contradicting the exclusivity from S1 that only Mary received them.",,,1,POS,1,f5,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoCzQkUntZZAUDAvD4A6cKF0itm,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,0,A,,,,"S1 focuses on ""Mary"" and ""oranges,"" meaning Sam only gave Mary oranges and no other fruit to Mary. S2 claims Sam didn’t give Tom oranges, which is entailed by the exclusivity in S1.",,,2,NEG,1,f5,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoCzQkUntZZAUDAvD4A6cKF0itm,
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,1,C,,,,"the focus in S1 is on ""grapes,"" meaning Sam only gave Mary grapes. S2 says Sam also gave Mary apples, which contradicts the exclusivity of S1.",,,2,POS,2,f5,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoCzQkUntZZAUDAvD4A6cKF0itm,
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,0,B,,,,"S1 focuses on ""Sue,"" meaning Sam only gave Sue apples and no one else apples. S2 says Sam also gave Mary apples. This doesn’t contradict S1, nor is it entailed. They are independent.",,,1,POS,1,f5,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoCzQkUntZZAUDAvD4A6cKF0itm,
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,1,C,,,,"S1 focuses on ""oranges,"" meaning Sam only gave Bill oranges. S2 says Sam also gave Bill bananas, which contradicts the excluded alternatives implied by ""only.""",,,2,POS,2,f5,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoCzQkUntZZAUDAvD4A6cKF0itm,
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,1,C,,,,"the focus in S1 is on ""bananas,"" meaning Sam only gave Ellen bananas. S2 says Sam also gave Ellen grapes, contradicting the exclusivity of the ""only"" statement.",,,2,POS,2,f5,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoCzQkUntZZAUDAvD4A6cKF0itm,
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,,,,"S1 focuses on ""bananas,"" meaning Sam only gave Tom bananas. S2 says Sam didn’t give Tom oranges, which follows from the exclusivity in S1 and is therefore entailed.",,,2,NEG,2,f5,audio,openai,gpt-audio,20260428_143339,chatcmpl-DZdoCzQkUntZZAUDAvD4A6cKF0itm,
