example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 places prosodic focus on ""Rob"", meaning Rob is the only person who received bananas. This entails S2, which states that Tom did not receive bananas.",,,1,NEG,1,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,1,B,,,,"S1 places prosodic focus on ""Tom"", meaning Tom is the only person who received grapes. This provides no information about whether Tom received oranges, making S2 independent.",,,1,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,1,B,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person who received oranges. This provides no information about whether Sue received apples, making S2 independent.",,,1,POS,2,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person who received bananas. This entails S2, which states that Rob did not receive bananas.",,,1,NEG,1,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 places prosodic focus on ""oranges"", meaning oranges are the only thing Tom received. This entails S2, which states that Tom did not receive bananas.",,,2,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,1,B,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person who received apples. This provides no information about whether Sue received oranges, making S2 independent.",,,1,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,,,,"S1 places prosodic focus on ""grapes"", meaning grapes are the only thing Sue received. This entails S2, which states that Sue did not receive apples.",,,2,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,1,B,,,,"S1 places prosodic focus on ""Ellen"", meaning Ellen is the only person who received oranges. This provides no information about whether Ellen received bananas, making S2 independent.",,,1,POS,2,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,,,,"S1 places prosodic focus on ""grapes"", meaning grapes are the only thing Mary received. This entails S2, which states that Mary did not receive apples.",,,1,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,1,C,,,,"S1 places prosodic focus on ""Bill"", meaning Bill is the only person who received oranges. This contradicts S2, which states that Mary also received oranges.",,,1,POS,1,f2,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
