example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,1,Sam only gave ROB apples.,Sam didn't give Sue apples.,"focusing on ""ROB"" means Sam gave apples to Rob and to no one else; therefore he did not give Sue apples.",0.0,0.0,1,NEG,1,f6,oracle,openai,gpt-5.1,20260519_145258,,,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,0,C,1,Sam only gave SUE grapes.,Sam also gave Sue oranges.,"focusing on ""SUE"" means Sue is the only recipient of grapes, but says nothing about what else she may receive; saying he also gave Sue oranges is compatible, so S2 is independent, not entailed or contradicted. However, the required label ""A"" would imply entailment, which is incorrect.",0.0,0.0,1,POS,2,f6,oracle,openai,gpt-5.1,20260519_145258,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,1,B,1,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,"focusing on ""SUE"" only restricts who got grapes (only Sue did); it does not say what other things Sue did or didn’t get, so we cannot infer anything about bananas.",0.0,0.0,1,NEG,2,f6,oracle,openai,gpt-5.1,20260519_145258,,,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,0,C,1,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,"focusing on ""GRAPES"" means grapes are the only thing Mary received, not the only person who received grapes; S2 talks about Ellen, so it’s independent of that restriction and not entailed or contradicted. The forced label ""A"" would be wrong.",0.0,0.0,2,POS,1,f6,oracle,openai,gpt-5.1,20260519_145258,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,0,B,1,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,"focusing on ""ORANGES"" means oranges are the only thing Rob got, so saying he also got bananas would contradict S1; thus S2 is contradicted, not entailed.",0.0,0.0,2,POS,2,f6,oracle,openai,gpt-5.1,20260519_145258,,,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,1,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,"focusing on ""BANANAS"" means bananas are the only thing Sue received; therefore she did not get grapes.",0.0,0.0,2,NEG,2,f6,oracle,openai,gpt-5.1,20260519_145258,,,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,1,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,"focusing on ""GRAPES"" means grapes are the only thing Tom received; thus he did not get apples.",0.0,0.0,2,NEG,2,f6,oracle,openai,gpt-5.1,20260519_145258,,,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,"focusing on ""TOM"" means Tom is the only one who received bananas; it does not limit what items Tom received in total, so we cannot infer anything about whether he got grapes.",0.0,0.0,1,NEG,2,f6,oracle,openai,gpt-5.1,20260519_145258,,,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,1,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,"focusing on ""APPLES"" means apples are the only thing Rob received; saying he also got grapes directly contradicts this.",0.0,0.0,2,POS,2,f6,oracle,openai,gpt-5.1,20260519_145258,,,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,1,B,1,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,"focusing on ""ELLEN"" means Ellen is the only one who received grapes; it does not constrain what else Ellen might have received, so getting oranges is compatible but not entailed.",0.0,0.0,1,POS,2,f6,oracle,openai,gpt-5.1,20260519_145258,,,
