example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,A,1,A,0,Sam only gave Rob oranges.,Sam didn't give Tom oranges.,"if Sam only gave Rob oranges, it means no one else, including Tom, received oranges from Sam.",0.0,0.0,1,NEG,1,f11,baseline,openai,gpt-4o,20260519_142234,,,
1,0,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,A,1,A,0,Sam only gave Sue grapes.,Sam didn't give Bill grapes.,"if Sam only gave Sue grapes, it means no one else, including Bill, received grapes from Sam.",0.0,0.0,1,NEG,1,f11,baseline,openai,gpt-4o,20260519_142234,,,
2,0,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,A,1,A,0,Sam only gave Sue oranges.,Sam didn't give Mary oranges.,"if Sam only gave Sue oranges, it means no one else, including Mary, received oranges from Sam.",0.0,0.0,1,NEG,1,f11,baseline,openai,gpt-4o,20260519_142234,,,
3,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,B,0,A,0,Sam only gave Ellen bananas.,Sam didn't give Ellen grapes.,"if Sam only gave Ellen bananas, it implies that Ellen did not receive any other fruit, such as grapes, from Sam.",0.0,0.0,1,NEG,2,f11,baseline,openai,gpt-4o,20260519_142234,,,
4,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,B,0,A,0,Sam only gave Ellen bananas.,Sam didn't give Ellen oranges.,"if Sam only gave Ellen bananas, it implies that Ellen did not receive any other fruit, such as oranges, from Sam.",0.0,0.0,1,NEG,2,f11,baseline,openai,gpt-4o,20260519_142234,,,
5,0,Sam only gave ROB grapes.,Sam didn't give Rob apples.,B,0,A,0,Sam only gave Rob grapes.,Sam didn't give Rob apples.,"if Sam only gave Rob grapes, it means Rob did not receive any other fruit, such as apples, from Sam.",0.0,0.0,1,NEG,2,f11,baseline,openai,gpt-4o,20260519_142234,,,
6,0,Sam only gave BILL apples.,Sam also gave Ellen apples.,C,1,C,0,Sam only gave Bill apples.,Sam also gave Ellen apples.,"if Sam only gave apples to Bill, he could not have given them to anyone else, including Ellen.",0.0,0.0,1,POS,1,f11,baseline,openai,gpt-4o,20260519_142234,,,
7,0,Sam only gave ELLEN apples.,Sam also gave Sue apples.,C,1,C,0,Sam only gave Ellen apples.,Sam also gave Sue apples.,"if Sam only gave apples to Ellen, he could not have given them to anyone else, including Sue.",0.0,0.0,1,POS,1,f11,baseline,openai,gpt-4o,20260519_142234,,,
8,0,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,C,1,C,0,Sam only gave Ellen oranges.,Sam also gave Rob oranges.,"if Sam only gave oranges to Ellen, he could not have given them to anyone else, including Rob.",0.0,0.0,1,POS,1,f11,baseline,openai,gpt-4o,20260519_142234,,,
9,0,Sam only gave SUE apples.,Sam also gave Bill apples.,C,1,C,0,Sam only gave Sue apples.,Sam also gave Bill apples.,"if Sam only gave apples to Sue, he could not have given them to anyone else, including Bill.",0.0,0.0,1,POS,1,f11,baseline,openai,gpt-4o,20260519_142234,,,
