example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,resolved_model,cv_fold,speaker
0,0,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning Sam gave Ellen nothing but bananas. It says nothing about what Sam gave Rob, so S2 is independent.",,,2,POS,1,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
1,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,,,,"S1 focuses on ""Rob"", meaning Sam gave grapes to no one but Rob. It says nothing about whether Sam gave Rob other fruits like oranges, so S2 is independent.",,,1,POS,2,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
2,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,1,C,,,,"S1 focuses on ""Tom"", meaning Sam gave apples to no one but Tom. S2 states that Sam gave Bill apples, which contradicts S1.",,,1,POS,1,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
3,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,1,C,,,,"S1 focuses on ""apples"", meaning Sam gave Mary nothing but apples. S2 states that Sam gave Mary bananas, which contradicts S1.",,,2,POS,2,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
4,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,1,B,,,,"S1 focuses on ""oranges"", meaning Sam gave Ellen nothing but oranges. It says nothing about what Sam gave Sue, so S2 is independent.",,,2,POS,1,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
5,0,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,A,1,A,,,,"S1 focuses on ""oranges"", meaning Sam gave Rob nothing but oranges. This entails that Sam did not give Rob apples, which is exactly what S2 states.",,,2,NEG,2,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
6,0,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning Sam gave Bill nothing but bananas. It says nothing about what Sam gave Ellen, so S2 is independent.",,,2,NEG,1,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
7,0,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning Sam gave Rob nothing but bananas. It says nothing about what Sam gave Sue, so S2 is independent.",,,2,POS,1,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
8,0,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning Sam gave Bill nothing but bananas. It says nothing about what Sam gave Mary, so S2 is independent.",,,2,NEG,1,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
9,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,1,B,,,,"S1 focuses on ""grapes"", meaning Sam gave Ellen nothing but grapes. It says nothing about what Sam gave Rob, so S2 is independent.",,,2,NEG,1,f8,audio,gemini,gemini-3.1-pro-preview,20260713_154251,,,,
