example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave SUE apples.,Sam also gave Rob apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Rob apples.,"focusing on ""SUE"" with ""only"" means Sam gave apples to Sue and to no one else; saying he also gave Rob apples contradicts this.",0.0,0.0,1,POS,1,f4,oracle,openai,gpt-5.1,20260519_145258,,,
1,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,1,B,1,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,"focusing on ""APPLES"" with ""only"" means Bill got only apples (no other things), but it says nothing about whether Mary got apples; S2 introduces independent information.",0.0,0.0,2,NEG,1,f4,oracle,openai,gpt-5.1,20260519_145258,,,
2,0,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,"focusing on ""MARY"" with ""only"" means Sam gave oranges only to Mary and to no one else; saying he also gave Ellen oranges contradicts this.",0.0,0.0,1,POS,1,f4,oracle,openai,gpt-5.1,20260519_145258,,,
3,0,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,1,B,1,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,"focusing on ""APPLES"" with ""only"" means Ellen received only apples (no other items), but it does not restrict who else might get apples; S2 concerns Tom and is independent.",0.0,0.0,2,NEG,1,f4,oracle,openai,gpt-5.1,20260519_145258,,,
4,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,0,C,1,Sam only gave ROB bananas.,Sam also gave Rob oranges.,"focusing on ""ROB"" with ""only"" means Rob is the only recipient of bananas, but does not restrict what else Rob got; however S2 says he also got oranges, which does not conflict, so:",0.0,0.0,1,POS,2,f4,oracle,openai,gpt-5.1,20260519_145258,,,
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,1,A,1,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,"focusing on ""BANANAS"" with ""only"" means bananas are the only thing Bill got; therefore he did not get grapes, so S2 is entailed.",0.0,0.0,2,NEG,2,f4,oracle,openai,gpt-5.1,20260519_145258,,,
6,0,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,"focusing on ""ORANGES"" with ""only"" means oranges are the only thing Ellen got; therefore she did not get grapes, so S2 is entailed.",0.0,0.0,2,NEG,2,f4,oracle,openai,gpt-5.1,20260519_145258,,,
7,0,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,B,1,B,1,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,"focusing on ""BANANAS"" with ""only"" means bananas are the only thing Mary got, not that Mary is the only one who got bananas; S2 about Ellen getting (or not getting) bananas is independent.",0.0,0.0,2,NEG,1,f4,oracle,openai,gpt-5.1,20260519_145258,,,
8,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,"focusing on ""BILL"" with ""only"" means Bill is the only person who got bananas; therefore Tom did not get bananas, so S2 is entailed.",0.0,0.0,1,NEG,1,f4,oracle,openai,gpt-5.1,20260519_145258,,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,A,1,A,1,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,"focusing on ""ORANGES"" with ""only"" means oranges are the only thing Sue got; therefore she did not get grapes, so S2 is entailed.",0.0,0.0,2,NEG,2,f4,oracle,openai,gpt-5.1,20260519_145258,,,
