example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,A,1,A,,,,"S1 places prosodic focus on ""Rob"", meaning Rob was the only person who received oranges. This entails that Tom did not receive oranges.",,,1,NEG,1,f11,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
1,0,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person who received grapes. This entails that Bill did not receive grapes.",,,1,NEG,1,f11,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
2,0,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person who received oranges. This entails that Mary did not receive oranges.",,,1,NEG,1,f11,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
3,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,B,1,B,,,,"S1 places prosodic focus on ""Ellen"", meaning Ellen was the only person who received bananas. This provides no information about whether Ellen received other fruits like grapes, making S2 independent.",,,1,NEG,2,f11,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
4,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,B,1,B,,,,"S1 places prosodic focus on ""Ellen"", meaning Ellen was the only person who received bananas. This provides no information about whether Ellen received other fruits like oranges, making S2 independent.",,,1,NEG,2,f11,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
5,0,Sam only gave ROB grapes.,Sam didn't give Rob apples.,B,1,B,,,,"S1 places prosodic focus on ""Rob"", meaning Rob was the only person who received grapes. This provides no information about whether Rob received other fruits like apples, making S2 independent.",,,1,NEG,2,f11,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
6,0,Sam only gave BILL apples.,Sam also gave Ellen apples.,C,1,C,,,,"S1 places prosodic focus on ""Bill"", meaning Bill was the only person who received apples. S2 states that Ellen also received apples, which directly contradicts S1.",,,1,POS,1,f11,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
7,0,Sam only gave ELLEN apples.,Sam also gave Sue apples.,C,1,C,,,,"S1 places prosodic focus on ""Ellen"", meaning Ellen was the only person who received apples. S2 states that Sue also received apples, which directly contradicts S1.",,,1,POS,1,f11,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
8,0,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 places prosodic focus on ""Ellen"", meaning Ellen was the only person who received oranges. S2 states that Rob also received oranges, which directly contradicts S1.",,,1,POS,1,f11,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
9,0,Sam only gave SUE apples.,Sam also gave Bill apples.,C,1,C,,,,"S1 places prosodic focus on ""Sue"", meaning Sue was the only person who received apples. S2 states that Bill also received apples, which directly contradicts S1.",,,1,POS,1,f11,audio,gemini,gemini-3.1-pro-preview,20260428_143342,,
