example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,,,1,Sam only gave ROB apples.,Sam didn't give Sue apples.,,0.0,0.0,1,NEG,1,f6,audio,gemini,gemini-2.5-flash,20260428_143342,,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,,,1,Sam only gave SUE grapes.,Sam also gave Sue oranges.,,0.0,0.0,1,POS,2,f6,audio,gemini,gemini-2.5-flash,20260428_143342,,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,,,0,Sam only gave Sue GRAPES.,Sam didn't give Sue bananas.,,0.0,0.0,1,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260428_143342,,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,,,0,Sam only gave MARY grapes.,Sam also gave Ellen grapes.,,0.0,0.0,2,POS,1,f6,audio,gemini,gemini-2.5-flash,20260428_143342,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,,,1,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,,0.0,0.0,2,POS,2,f6,audio,gemini,gemini-2.5-flash,20260428_143342,,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,,,1,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,,0.0,0.0,2,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260428_143342,,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,,,1,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,,0.0,0.0,2,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260428_143342,,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,,,1,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,,0.0,0.0,1,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260428_143342,,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,,,1,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,,0.0,0.0,2,POS,2,f6,audio,gemini,gemini-2.5-flash,20260428_143342,,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,,,1,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,,0.0,0.0,1,POS,2,f6,audio,gemini,gemini-2.5-flash,20260428_143342,,
