example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,0,B,,,,"S1 states that Sam only gave Rob apples, meaning Rob received only apples from Sam. This statement provides no information about what Sam gave or didn't give to Sue, so S2 is independent.",,,1,NEG,1,f6,audio,gemini,gemini-2.5-flash,20260428_143340,,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,0,C,,,,"S1 states that Sam only gave Sue grapes, implying that Sue received grapes and no other items from Sam. S2 states that Sam also gave Sue oranges, which contradicts the ""only grapes"" condition of S1.",,,1,POS,2,f6,audio,gemini,gemini-2.5-flash,20260428_143340,,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,0,A,,,,"S1 states that Sam only gave Sue grapes, implying that Sue received grapes and no other items from Sam. If Sam only gave Sue grapes, then it must be true that Sam didn't give Sue bananas.",,,1,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260428_143340,,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,1,B,,,,"S1 states that Sam only gave Mary grapes, meaning Mary received only grapes from Sam. This statement provides no information about what Sam gave or didn't give to Ellen, so S2 is independent.",,,2,POS,1,f6,audio,gemini,gemini-2.5-flash,20260428_143340,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,,,,"S1 states that Sam only gave Rob oranges, implying that Rob received oranges and no other items from Sam. S2 states that Sam also gave Rob bananas, which contradicts the ""only oranges"" condition of S1.",,,2,POS,2,f6,audio,gemini,gemini-2.5-flash,20260428_143340,,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,,,,"S1 states that Sam only gave Sue bananas, implying that Sue received bananas and no other items from Sam. If Sam only gave Sue bananas, then it must be true that Sam didn't give Sue grapes.",,,2,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260428_143340,,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,,,,"S1 states that Sam only gave Tom grapes, implying that Tom received grapes and no other items from Sam. If Sam only gave Tom grapes, then it must be true that Sam didn't give Tom apples.",,,2,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260428_143340,,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,0,A,,,,"S1 states that Sam only gave Tom bananas, implying that Tom received bananas and no other items from Sam. If Sam only gave Tom bananas, then it must be true that Sam didn't give Tom grapes.",,,1,NEG,2,f6,audio,gemini,gemini-2.5-flash,20260428_143340,,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,,,,"S1 states that Sam only gave Rob apples, implying that Rob received apples and no other items from Sam. S2 states that Sam also gave Rob grapes, which contradicts the ""only apples"" condition of S1.",,,2,POS,2,f6,audio,gemini,gemini-2.5-flash,20260428_143340,,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,0,C,,,,"S1 states that Sam only gave Ellen grapes, implying that Ellen received grapes and no other items from Sam. S2 states that Sam also gave Ellen oranges, which contradicts the ""only grapes"" condition of S1.",,,1,POS,2,f6,audio,gemini,gemini-2.5-flash,20260428_143340,,
