example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,1,C,1,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,"with focus on BANANAS, S1 means the only thing Sam gave Bill was bananas; S2 says he also gave Bill grapes, which contradicts this.",0.0,0.0,2,POS,2,f7,oracle,openai,gpt-5,20260519_150444,,,
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,1,C,1,Sam only gave MARY apples.,Sam also gave Ellen apples.,"with focus on MARY, S1 means only Mary received apples from Sam; S2 says Ellen also received apples, which contradicts this.",0.0,0.0,1,POS,1,f7,oracle,openai,gpt-5,20260519_150444,,,
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,1,B,1,Sam only gave Sue APPLES.,Sam also gave Tom apples.,"with focus on APPLES, S1 restricts what Sue got (only apples) but says nothing about others receiving apples; S2 could be true or false.",0.0,0.0,2,POS,1,f7,oracle,openai,gpt-5,20260519_150444,,,
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,1,B,1,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,"with focus on BILL, S1 restricts who got grapes (only Bill) but not what else Bill might have received; S2 is not entailed or contradicted.",0.0,0.0,1,NEG,2,f7,oracle,openai,gpt-5,20260519_150444,,,
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,1,B,1,Sam only gave BILL apples.,Sam didn't give Bill bananas.,"with focus on BILL, S1 restricts who got apples (only Bill) but not whether Bill also got bananas; S2 is independent.",0.0,0.0,1,NEG,2,f7,oracle,openai,gpt-5,20260519_150444,,,
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,1,B,1,Sam only gave SUE apples.,Sam didn't give Sue bananas.,"with focus on SUE, S1 restricts who got apples (only Sue) but not whether Sue also got bananas; S2 is independent.",0.0,0.0,1,NEG,2,f7,oracle,openai,gpt-5,20260519_150444,,,
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,"with focus on ELLEN, S1 means only Ellen got oranges; therefore Tom did not get oranges.",0.0,0.0,1,NEG,1,f7,oracle,openai,gpt-5,20260519_150444,,,
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,1,A,1,Sam only gave TOM apples.,Sam didn't give Mary apples.,"with focus on TOM, S1 means only Tom got apples; therefore Mary did not get apples.",0.0,0.0,1,NEG,1,f7,oracle,openai,gpt-5,20260519_150444,,,
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,1,B,1,Sam only gave Tom APPLES.,Sam also gave Bill apples.,"with focus on APPLES, S1 restricts what Tom got (only apples) but not who else got apples; S2 is independent.",0.0,0.0,2,POS,1,f7,oracle,openai,gpt-5,20260519_150444,,,
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,1,B,1,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,"with focus on BANANAS, S1 restricts what Sue got (only bananas) but not whether Tom got bananas; S2 is independent.",0.0,0.0,2,NEG,1,f7,oracle,openai,gpt-5,20260519_150444,,,
