example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,0,B,0,Sam only gave Rob apples.,Sam didn't give Sue apples.,"S1 says Sam’s only recipient was Rob, but in natural language “only gave Rob apples” constrains the recipients, not explicitly all person–item pairs; it does not strictly assert anything about giving apples to Sue, so S2 is not logically entailed or contradicted.",0.0,0.0,1,NEG,1,f6,baseline,openai,gpt-5.1,20260519_144204,,,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,0,C,0,Sam only gave Sue grapes.,Sam also gave Sue oranges.,"S1 says grapes were the only thing Sam gave Sue, so saying Sam also gave her oranges contradicts this.",0.0,0.0,1,POS,2,f6,baseline,openai,gpt-5.1,20260519_144204,,,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,0,A,0,Sam only gave Sue grapes.,Sam didn't give Sue bananas.,"if Sam gave Sue only grapes, then he did not give her bananas.",0.0,0.0,1,NEG,2,f6,baseline,openai,gpt-5.1,20260519_144204,,,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,0,C,0,Sam only gave Mary grapes.,Sam also gave Ellen grapes.,"“only gave Mary grapes” says Mary was the only recipient of grapes, so giving Ellen grapes as well contradicts S1.",0.0,0.0,2,POS,1,f6,baseline,openai,gpt-5.1,20260519_144204,,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,0,Sam only gave Rob oranges.,Sam also gave Rob bananas.,"S1 says the only thing Sam gave Rob was oranges, so giving Rob bananas as well contradicts this.",0.0,0.0,2,POS,2,f6,baseline,openai,gpt-5.1,20260519_144204,,,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,0,Sam only gave Sue bananas.,Sam didn't give Sue grapes.,"if Sam gave Sue only bananas, then he did not give her grapes.",0.0,0.0,2,NEG,2,f6,baseline,openai,gpt-5.1,20260519_144204,,,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,0,Sam only gave Tom grapes.,Sam didn't give Tom apples.,"if Sam gave Tom only grapes, then he did not give him apples.",0.0,0.0,2,NEG,2,f6,baseline,openai,gpt-5.1,20260519_144204,,,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,0,A,0,Sam only gave Tom bananas.,Sam didn't give Tom grapes.,"if Sam gave Tom only bananas, then he did not give him grapes.",0.0,0.0,1,NEG,2,f6,baseline,openai,gpt-5.1,20260519_144204,,,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,0,Sam only gave Rob apples.,Sam also gave Rob grapes.,"S1 says the only thing Sam gave Rob was apples, so giving Rob grapes as well contradicts this.",0.0,0.0,2,POS,2,f6,baseline,openai,gpt-5.1,20260519_144204,,,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,0,C,0,Sam only gave Ellen grapes.,Sam also gave Ellen oranges.,"S1 says the only thing Sam gave Ellen was grapes, so giving her oranges as well contradicts this.",0.0,0.0,1,POS,2,f6,baseline,openai,gpt-5.1,20260519_144204,,,
