example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ROB oranges.,Sam didn't give Tom oranges.,A,0,B,0,Sam only gave ROB oranges. Sam didn’t give Tom oranges.,Sam only gave SUE grapes. Sam didn’t give Bill grapes.,the second statement talks about a different person (Sue and grapes versus Rob and oranges) and doesn’t relate or contradict the first statement.,0.5283018867924528,0.6346153846153846,1,NEG,1,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
1,0,Sam only gave SUE grapes.,Sam didn't give Bill grapes.,A,0,B,0,Sam only gave SUE oranges. Sam didn’t give Mary oranges.,Sam only gave ELLEN bananas. Sam didn’t give Ellen grapes.,"the second statement is about Ellen and bananas, while the first is about Sue and oranges. They are discussing different people and fruits, making them independent.",0.5740740740740741,0.5892857142857143,1,NEG,1,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
2,0,Sam only gave SUE oranges.,Sam didn't give Mary oranges.,A,0,B,0,Sam only gave ELLEN bananas. Sam didn’t give Ellen ORANGES.,Sam only gave ROB grapes. Sam didn’t give Rob apples.,"the second statement involves Rob and grapes, which is unrelated to Ellen and bananas or oranges mentioned in the first, making them independent.",0.5789473684210527,0.6862745098039216,1,NEG,1,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
3,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen grapes.,B,1,B,0,Sam only gave ROB grapes. Sam didn’t give Rob APPLES.,Sam only gave BILL apples. Sam also gave Ellen apples.,"the second statement describes Bill and Ellen getting apples, while the first describes Rob getting grapes and not apples. These are independent statements about different people.",0.6078431372549019,0.6538461538461539,1,NEG,2,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
4,0,Sam only gave ELLEN bananas.,Sam didn't give Ellen oranges.,B,0,C,0,Sam only gave BILL APPLES. Sam also gave Ellen apples.,Sam only gave ELLEN apples. Sam also gave Sue apples.,"the first statement focuses on Bill being the only one initially given apples (with Ellen receiving apples also), while the second focuses on Ellen being the sole initial receiver and Sue also getting them. This contradicts the first.",0.5576923076923077,0.6470588235294118,1,NEG,2,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
5,0,Sam only gave ROB grapes.,Sam didn't give Rob apples.,B,1,B,0,Sam only gave ELLEN ORANGES. Sam also gave Rob oranges.,Sam only gave SUE apples. Sam also gave Bill apples.,"the second talks about Sue and Bill getting apples, while the first talks about Ellen and Rob getting oranges. These are independent contexts.",0.5849056603773585,0.66,1,NEG,2,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
6,0,Sam only gave BILL apples.,Sam also gave Ellen apples.,C,1,C,0,Sam only gave SUE APPLES. Sam also gave Bill apples.,Sam only gave ELLEN apples. Sam also gave Rob apples.,"the first statement says Sue was the only unique initial receiver of apples (and adds Bill), while the second says Ellen was the sole initial receiver (and adds Rob). These focus statements contradict each other.",0.5,0.5686274509803921,1,POS,1,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
7,0,Sam only gave ELLEN apples.,Sam also gave Sue apples.,C,0,B,0,Sam only gave ELLEN APPLES. Sam also gave Sue apples.,Sam only gave ELLEN ORANGES. Sam also gave Rob oranges.,"the first statement is about apples tied to Ellen and Sue, while the second is about oranges tied to Ellen and Rob. They do not relate directly and are independent.",0.49019607843137253,0.6792452830188679,1,POS,1,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
8,0,Sam only gave ELLEN oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE apples. Sam also gave BILL apples.,Sam only gave ELLEN apples. Sam also gave SUE apples.,"the first says Sue was the only original receiver before adding Bill, while the second says Ellen was the only original receiver before adding Sue. This is a contradiction of focus.",0.56,0.6862745098039216,1,POS,1,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
9,0,Sam only gave SUE apples.,Sam also gave Bill apples.,C,0,B,1,Sam only gave ELLEN apples. Sam also gave ROB oranges.,Sam only gave SUE apples. Sam also gave BILL apples.,"the first discusses Ellen’s apples and Rob’s oranges, while the second talks about Sue’s apples and Bill’s apples, making them independent.",0.5769230769230769,0.5,1,POS,1,f11,audio,openai,gpt-audio,20260428_125030,chatcmpl-DZcBXOA3ihMRqW73fs9t65glsDy8o,
